year_month,state,district,biometric_total
2025-01,Arunachal Pradesh,Kamle,96
2025-01,Arunachal Pradesh,Kra Daadi,914
2025-01,Arunachal Pradesh,Kurung Kumey,2463
2025-01,Arunachal Pradesh,Leparada,2
2025-01,Arunachal Pradesh,Lohit,2169
2025-01,Arunachal Pradesh,Longding,1636
2025-01,Arunachal Pradesh,Lower Dibang Valley,1111
2025-01,Arunachal Pradesh,Lower Siang,76
2025-01,Arunachal Pradesh,Lower Subansiri,1682
2025-01,Arunachal Pradesh,Namsai,3664
2025-01,Arunachal Pradesh,Pakke Kessang,18
2025-01,Arunachal Pradesh,Papum Pare,5721
2025-01,Arunachal Pradesh,Shi-yomi,184
2025-01,Arunachal Pradesh,Siang,728
2025-01,Arunachal Pradesh,Tawang,1092
2025-01,Arunachal Pradesh,Tirap,818
2025-01,Arunachal Pradesh,Upper Siang,771
2025-01,Arunachal Pradesh,Upper Subansiri,2686
2025-01,Arunachal Pradesh,West Kameng,3650
2025-01,Arunachal Pradesh,West Siang,2206
2025-01,Assam,Bajali,2
2025-01,Assam,Baksa,9686
2025-01,Assam,Barpeta,47120
2025-01,Assam,Biswanath,5188
2025-01,Assam,Bongaigaon,19202
2025-01,Assam,Cachar,35462
2025-01,Assam,Charaideo,4220
2025-01,Assam,Chirang,13794
2025-01,Assam,Darrang,14038
2025-01,Assam,Dhemaji,10103
2025-01,Assam,Dhubri,33843
2025-01,Assam,Dibrugarh,18501
2025-01,Assam,Dima Hasao,1
2025-01,Assam,Goalpara,11903
2025-01,Assam,Golaghat,9216
2025-01,Assam,Hailakandi,10731
2025-01,Assam,Hojai,14395
2025-01,Assam,Jorhat,7803
2025-01,Assam,Kamrup,24707
2025-01,Assam,Kamrup Metro,16666
2025-01,Assam,Karbi Anglong,16807
2025-01,Assam,Karimganj,13257
2025-01,Assam,Kokrajhar,17846
2025-01,Assam,Lakhimpur,13763
2025-01,Assam,Majuli,2159
2025-01,Assam,Marigaon,18271
2025-01,Assam,Nagaon,52976
2025-01,Assam,Nalbari,8208
2025-01,Assam,North Cachar Hills,1556
2025-01,Assam,Sibsagar,6008
2025-01,Assam,Sonitpur,15661
2025-01,Assam,South Salmara Mankachar,2169
2025-01,Assam,Sribhumi,16
2025-01,Assam,Tamulpur District,3
2025-01,Assam,Tinsukia,11384
2025-01,Assam,Udalguri,12016
2025-01,Assam,West Karbi Anglong,1136
2025-01,Bihar,Araria,106634
2025-01,Bihar,Arwal,20126
2025-01,Bihar,Aurangabad,62952
2025-01,Bihar,Aurangabad(bh),9
2025-01,Bihar,Banka,67668
2025-01,Bihar,Begusarai,100809
2025-01,Bihar,Bhabua,1
2025-01,Bihar,Bhagalpur,99344
2025-01,Bihar,Bhojpur,65202
2025-01,Bihar,Buxar,37929
2025-01,Bihar,Darbhanga,138865
2025-01,Bihar,East Champaran,141173
2025-01,Bihar,Gaya,131929
2025-01,Bihar,Gopalganj,70196
2025-01,Bihar,Jamui,51426
2025-01,Bihar,Jehanabad,24474
2025-01,Bihar,Kaimur (Bhabua),52912
2025-01,Bihar,Katihar,142772
2025-01,Bihar,Khagaria,53355
2025-01,Bihar,Kishanganj,81147
2025-01,Bihar,Lakhisarai,32287
2025-01,Bihar,Madhepura,78215
2025-01,Bihar,Madhubani,161711
2025-01,Bihar,Monghyr,7
2025-01,Bihar,Munger,33472
2025-01,Bihar,Muzaffarpur,141275
2025-01,Bihar,Nalanda,79239
2025-01,Bihar,Nawada,60059
2025-01,Bihar,Pashchim Champaran,62
2025-01,Bihar,Patna,144716
2025-01,Bihar,Purba Champaran,12
2025-01,Bihar,Purnea,3086
2025-01,Bihar,Purnia,160364
2025-01,Bihar,Rohtas,72349
2025-01,Bihar,Saharsa,76530
2025-01,Bihar,Samastipur,138803
2025-01,Bihar,Samstipur,13
2025-01,Bihar,Saran,95599
2025-01,Bihar,Sheikhpura,24454
2025-01,Bihar,Sheikpura,5
2025-01,Bihar,Sheohar,21517
2025-01,Bihar,Sitamarhi,122748
2025-01,Bihar,Siwan,80324
2025-01,Bihar,Supaul,74931
2025-01,Bihar,Vaishali,113660
2025-01,Bihar,West Champaran,109946
2025-01,Chandigarh,Chandigarh,59544
2025-01,Chandigarh,Rupnagar,1
2025-01,Chhattisgarh,Balod,46786
2025-01,Chhattisgarh,Baloda Bazar,80567
2025-01,Chhattisgarh,Balrampur,27639
2025-01,Chhattisgarh,Bastar,51312
2025-01,Chhattisgarh,Bemetara,66266
2025-01,Chhattisgarh,Bijapur,16959
2025-01,Chhattisgarh,Bilaspur,108885
2025-01,Chhattisgarh,Dakshin Bastar Dantewada,16387
2025-01,Chhattisgarh,Dantewada,11513
2025-01,Chhattisgarh,Dhamtari,51983
2025-01,Chhattisgarh,Durg,96145
2025-01,Chhattisgarh,Gariyaband,26949
2025-01,Chhattisgarh,Gaurela-pendra-marwahi,1673
2025-01,Chhattisgarh,Janjgir - Champa,11
2025-01,Chhattisgarh,Janjgir Champa,11
2025-01,Chhattisgarh,Janjgir-champa,104794
2025-01,Chhattisgarh,Jashpur,39707
2025-01,Chhattisgarh,Kabeerdham,15707
2025-01,Chhattisgarh,Kanker,27898
2025-01,Chhattisgarh,Kawardha,32472
2025-01,Chhattisgarh,Khairagarh Chhuikhadan Gandai,806
2025-01,Chhattisgarh,Kondagaon,31989
2025-01,Chhattisgarh,Korba,63438
2025-01,Chhattisgarh,Koriya,35423
2025-01,Chhattisgarh,Mahasamund,63407
2025-01,Chhattisgarh,ManendragarhChirmiriBharatpur,312
2025-01,Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,22
2025-01,Chhattisgarh,Mohalla-Manpur-Ambagarh Chowki,1
2025-01,Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,3766
2025-01,Chhattisgarh,Mungeli,42416
2025-01,Chhattisgarh,Narayanpur,13662
2025-01,Chhattisgarh,Raigarh,88926
2025-01,Chhattisgarh,Raipur,110266
2025-01,Chhattisgarh,Rajnandgaon,92473
2025-01,Chhattisgarh,Sakti,3025
2025-01,Chhattisgarh,Sarangarh-Bilaigarh,75
2025-01,Chhattisgarh,Sukma,15933
2025-01,Chhattisgarh,Surajpur,38025
2025-01,Chhattisgarh,Surguja,43131
2025-01,Chhattisgarh,Uttar Bastar Kanker,16540
2025-01,Dadra & Nagar Haveli,Dadra & Nagar Haveli,278
2025-01,Dadra and Nagar Haveli,Dadra and Nagar Haveli,17183
2025-01,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,1642
2025-01,Dadra and Nagar Haveli and Daman and Diu,Daman,431
2025-01,Dadra and Nagar Haveli and Daman and Diu,Diu,3
2025-01,Daman & Diu,Daman,970
2025-01,Daman & Diu,Diu,430
2025-01,Daman and Diu,Daman,2501
2025-01,Daman and Diu,Diu,1764
2025-01,Delhi,Central Delhi,38816
2025-01,Delhi,East Delhi,88801
2025-01,Delhi,Najafgarh,594
2025-01,Delhi,New Delhi,3153
2025-01,Delhi,North Delhi,42402
2025-01,Delhi,North East,35972
2025-01,Delhi,North East Delhi,98983
2025-01,Delhi,North West Delhi,235589
2025-01,Delhi,Shahdara,6215
2025-01,Delhi,South Delhi,166382
2025-01,Delhi,South East Delhi,456
2025-01,Delhi,South West Delhi,103423
2025-01,Delhi,West Delhi,129441
2025-01,Goa,Bardez,4
2025-01,Goa,North Goa,22751
2025-01,Goa,South Goa,20325
2025-01,Gujarat,Ahmadabad,8163
2025-01,Gujarat,Ahmedabad,289630
2025-01,Gujarat,Amreli,48716
2025-01,Gujarat,Anand,82507
2025-01,Gujarat,Arvalli,20675
2025-01,Gujarat,Banas Kantha,138
2025-01,Gujarat,Banaskantha,100572
2025-01,Gujarat,Bharuch,52604
2025-01,Gujarat,Bhavnagar,103472
2025-01,Gujarat,Botad,11925
2025-01,Gujarat,Chhotaudepur,25503
2025-01,Gujarat,Dahod,83442
2025-01,Gujarat,Devbhumi Dwarka,17745
2025-01,Gujarat,Dohad,10795
2025-01,Gujarat,Gandhinagar,57557
2025-01,Gujarat,Gir Somnath,24760
2025-01,Gujarat,Jamnagar,58368
2025-01,Gujarat,Junagadh,70960
2025-01,Gujarat,Kachchh,91662
2025-01,Gujarat,Kheda,84088
2025-01,Gujarat,Mahesana,71288
2025-01,Gujarat,Mahisagar,21314
2025-01,Gujarat,Morbi,23923
2025-01,Gujarat,Narmada,29713
2025-01,Gujarat,Navsari,30618
2025-01,Gujarat,Panch Mahals,21
2025-01,Gujarat,Panchmahals,67133
2025-01,Gujarat,Patan,52111
2025-01,Gujarat,Porbandar,23990
2025-01,Gujarat,Rajkot,123036
2025-01,Gujarat,Sabar Kantha,21
2025-01,Gujarat,Sabarkantha,63624
2025-01,Gujarat,Surat,193172
2025-01,Gujarat,Surendra Nagar,71883
2025-01,Gujarat,Surendranagar,22
2025-01,Gujarat,Tapi,27257
2025-01,Gujarat,The Dangs,21572
2025-01,Gujarat,Vadodara,140147
2025-01,Gujarat,Valsad,58272
2025-01,Haryana,Ambala,49626
2025-01,Haryana,Bhiwani,64061
2025-01,Haryana,Charkhi Dadri,6562
2025-01,Haryana,Faridabad,73877
2025-01,Haryana,Fatehabad,44447
2025-01,Haryana,Gurgaon,44103
2025-01,Haryana,Hisar,74740
2025-01,Haryana,Jhajjar,36316
2025-01,Haryana,Jind,57117
2025-01,Haryana,Kaithal,54099
2025-01,Haryana,Karnal,60083
2025-01,Haryana,Kurukshetra,45629
2025-01,Haryana,Mahendragarh,28732
2025-01,Haryana,Mewat,33715
2025-01,Haryana,Palwal,33164
2025-01,Haryana,Panchkula,25704
2025-01,Haryana,Panipat,51309
2025-01,Haryana,Rewari,30834
2025-01,Haryana,Rohtak,50804
2025-01,Haryana,Sirsa,61243
2025-01,Haryana,Sonipat,55985
2025-01,Haryana,Yamuna Nagar,55621
2025-01,Haryana,Yamunanagar,406
2025-01,Himachal Pradesh,Bilaspur,13020
2025-01,Himachal Pradesh,Chamba,19506
2025-01,Himachal Pradesh,Hamirpur,13428
2025-01,Himachal Pradesh,Kangra,51007
2025-01,Himachal Pradesh,Kinnaur,2614
2025-01,Himachal Pradesh,Kullu,12647
2025-01,Himachal Pradesh,Lahaul and Spiti,3
2025-01,Himachal Pradesh,Lahul & Spiti,106
2025-01,Himachal Pradesh,Lahul and Spiti,211
2025-01,Himachal Pradesh,Mandi,38221
2025-01,Himachal Pradesh,Shimla,22744
2025-01,Himachal Pradesh,Sirmaur,21845
2025-01,Himachal Pradesh,Solan,20318
2025-01,Himachal Pradesh,Una,18131
2025-01,Jammu & Kashmir,Baramula,4
2025-01,Jammu & Kashmir,Jammu,6
2025-01,Jammu & Kashmir,Rajauri,1
2025-01,Jammu & Kashmir,Srinagar,1
2025-01,Jammu & Kashmir,Udhampur,1
2025-01,Jammu and Kashmir,Anantnag,26258
2025-01,Jammu and Kashmir,Badgam,8999
2025-01,Jammu and Kashmir,Bandipore,12779
2025-01,Jammu and Kashmir,Baramula,37348
2025-01,Jammu and Kashmir,Budgam,13977
2025-01,Jammu and Kashmir,Doda,21340
2025-01,Jammu and Kashmir,Ganderbal,7893
2025-01,Jammu and Kashmir,Jammu,56922
2025-01,Jammu and Kashmir,Kargil,1259
2025-01,Jammu and Kashmir,Kathua,24465
2025-01,Jammu and Kashmir,Kishtwar,14626
2025-01,Jammu and Kashmir,Kulgam,17198
2025-01,Jammu and Kashmir,Kupwara,32301
2025-01,Jammu and Kashmir,Leh,1126
2025-01,Jammu and Kashmir,Pulwama,14527
2025-01,Jammu and Kashmir,Punch,26000
2025-01,Jammu and Kashmir,Rajouri,30733
2025-01,Jammu and Kashmir,Ramban,13770
2025-01,Jammu and Kashmir,Reasi,15697
2025-01,Jammu and Kashmir,Samba,6093
2025-01,Jammu and Kashmir,Shupiyan,9547
2025-01,Jammu and Kashmir,Srinagar,35580
2025-01,Jammu and Kashmir,Udhampur,30082
2025-01,Jharkhand,Bokaro,73732
2025-01,Jharkhand,Bokaro *,1
2025-01,Jharkhand,Chatra,44495
2025-01,Jharkhand,Deoghar,46238
2025-01,Jharkhand,Dhanbad,108753
2025-01,Jharkhand,Dumka,54730
2025-01,Jharkhand,East Singhbhum,95856
2025-01,Jharkhand,Garhwa,68465
2025-01,Jharkhand,Garhwa *,3599
2025-01,Jharkhand,Giridih,77152
2025-01,Jharkhand,Godda,56120
2025-01,Jharkhand,Gumla,58293
2025-01,Jharkhand,Hazaribag,5229
2025-01,Jharkhand,Hazaribagh,51672
2025-01,Jharkhand,Jamtara,27525
2025-01,Jharkhand,Khunti,28422
2025-01,Jharkhand,Kodarma,3465
2025-01,Jharkhand,Koderma,27545
2025-01,Jharkhand,Latehar,29931
2025-01,Jharkhand,Lohardaga,28599
2025-01,Jharkhand,Pakaur,1888
2025-01,Jharkhand,Pakur,29185
2025-01,Jharkhand,Palamau,1648
2025-01,Jharkhand,Palamu,78157
2025-01,Jharkhand,Pashchimi Singhbhum,10115
2025-01,Jharkhand,Purbi Singhbhum,14682
2025-01,Jharkhand,Ramgarh,25239
2025-01,Jharkhand,Ranchi,130726
2025-01,Jharkhand,Sahebganj,44658
2025-01,Jharkhand,Sahibganj,1090
2025-01,Jharkhand,Seraikela-Kharsawan,43626
2025-01,Jharkhand,Seraikela-kharsawan,9723
2025-01,Jharkhand,Simdega,46203
2025-01,Jharkhand,West Singhbhum,94367
2025-01,Karnataka,Bagalkot,50756
2025-01,Karnataka,Bagalkot *,738
2025-01,Karnataka,Ballari,24618
2025-01,Karnataka,Bangalore,134420
2025-01,Karnataka,Bangalore Rural,23680
2025-01,Karnataka,Belagavi,49785
2025-01,Karnataka,Belgaum,71698
2025-01,Karnataka,Bellary,43450
2025-01,Karnataka,Bengaluru,199421
2025-01,Karnataka,Bengaluru South,3
2025-01,Karnataka,Bidar,47413
2025-01,Karnataka,Bijapur,34969
2025-01,Karnataka,Chamarajanagar,815
2025-01,Karnataka,Chamarajanagar *,1
2025-01,Karnataka,Chamrajanagar,16712
2025-01,Karnataka,Chamrajnagar,736
2025-01,Karnataka,Chickmagalur,14040
2025-01,Karnataka,Chikkaballapur,27137
2025-01,Karnataka,Chikkamagaluru,10134
2025-01,Karnataka,Chikmagalur,644
2025-01,Karnataka,Chitradurga,39368
2025-01,Karnataka,Dakshina Kannada,50200
2025-01,Karnataka,Davanagere,2787
2025-01,Karnataka,Davangere,61468
2025-01,Karnataka,Dharwad,60945
2025-01,Karnataka,Gadag,27335
2025-01,Karnataka,Gadag *,712
2025-01,Karnataka,Gulbarga,39213
2025-01,Karnataka,Hasan,4703
2025-01,Karnataka,Hassan,31354
2025-01,Karnataka,Haveri,48524
2025-01,Karnataka,Haveri *,663
2025-01,Karnataka,Kalaburagi,44869
2025-01,Karnataka,Kodagu,11958
2025-01,Karnataka,Kolar,41598
2025-01,Karnataka,Koppal,38451
2025-01,Karnataka,Mandya,42911
2025-01,Karnataka,Mysore,33392
2025-01,Karnataka,Mysuru,35456
2025-01,Karnataka,Raichur,67019
2025-01,Karnataka,Ramanagar,26278
2025-01,Karnataka,Shimoga,16491
2025-01,Karnataka,Shivamogga,21969
2025-01,Karnataka,Tumakuru,28489
2025-01,Karnataka,Tumkur,39893
2025-01,Karnataka,Udupi,21714
2025-01,Karnataka,Uttara Kannada,27161
2025-01,Karnataka,Vijayanagara,15936
2025-01,Karnataka,Vijayapura,34417
2025-01,Karnataka,Yadgir,39943
2025-01,Karnataka,yadgir,2025
2025-01,Kerala,Alappuzha,59076
2025-01,Kerala,Ernakulam,101055
2025-01,Kerala,Idukki,31870
2025-01,Kerala,Kannur,77140
2025-01,Kerala,Kasaragod,49677
2025-01,Kerala,Kasargod,444
2025-01,Kerala,Kollam,86632
2025-01,Kerala,Kottayam,51544
2025-01,Kerala,Kozhikode,93787
2025-01,Kerala,Malappuram,146882
2025-01,Kerala,Palakkad,110788
2025-01,Kerala,Pathanamthitta,40095
2025-01,Kerala,Thiruvananthapuram,102348
2025-01,Kerala,Thrissur,97153
2025-01,Kerala,Wayanad,24076
2025-01,Ladakh,Kargil,1763
2025-01,Ladakh,Leh,1802
2025-01,Lakshadweep,Lakshadweep,3067
2025-01,Madhya Pradesh,Agar Malwa,11248
2025-01,Madhya Pradesh,Alirajpur,45122
2025-01,Madhya Pradesh,Anuppur,53959
2025-01,Madhya Pradesh,Ashok Nagar,57629
2025-01,Madhya Pradesh,Balaghat,84766
2025-01,Madhya Pradesh,Barwani,111970
2025-01,Madhya Pradesh,Betul,107684
2025-01,Madhya Pradesh,Bhind,55555
2025-01,Madhya Pradesh,Bhopal,123856
2025-01,Madhya Pradesh,Burhanpur,53601
2025-01,Madhya Pradesh,Chhatarpur,118148
2025-01,Madhya Pradesh,Chhindwara,94671
2025-01,Madhya Pradesh,Damoh,105786
2025-01,Madhya Pradesh,Datia,33661
2025-01,Madhya Pradesh,Dewas,80736
2025-01,Madhya Pradesh,Dhar,111468
2025-01,Madhya Pradesh,Dindori,47571
2025-01,Madhya Pradesh,East Nimar,27987
2025-01,Madhya Pradesh,Guna,102951
2025-01,Madhya Pradesh,Gwalior,88646
2025-01,Madhya Pradesh,Harda,27834
2025-01,Madhya Pradesh,Harda *,6941
2025-01,Madhya Pradesh,Hoshangabad,69719
2025-01,Madhya Pradesh,Indore,140461
2025-01,Madhya Pradesh,Jabalpur,96776
2025-01,Madhya Pradesh,Jhabua,65081
2025-01,Madhya Pradesh,Katni,59689
2025-01,Madhya Pradesh,Khandwa,43001
2025-01,Madhya Pradesh,Khargone,127797
2025-01,Madhya Pradesh,Maihar,520
2025-01,Madhya Pradesh,Mandla,46819
2025-01,Madhya Pradesh,Mandsaur,69692
2025-01,Madhya Pradesh,Mauganj,235
2025-01,Madhya Pradesh,Morena,109485
2025-01,Madhya Pradesh,Narmadapuram,5168
2025-01,Madhya Pradesh,Narsimhapur,6210
2025-01,Madhya Pradesh,Narsinghpur,41402
2025-01,Madhya Pradesh,Neemuch,41706
2025-01,Madhya Pradesh,Niwari,1767
2025-01,Madhya Pradesh,Pandhurna,108
2025-01,Madhya Pradesh,Panna,75385
2025-01,Madhya Pradesh,Raisen,84603
2025-01,Madhya Pradesh,Rajgarh,128338
2025-01,Madhya Pradesh,Ratlam,85952
2025-01,Madhya Pradesh,Rewa,142059
2025-01,Madhya Pradesh,Sagar,142464
2025-01,Madhya Pradesh,Satna,115425
2025-01,Madhya Pradesh,Sehore,87878
2025-01,Madhya Pradesh,Seoni,62851
2025-01,Madhya Pradesh,Shahdol,66629
2025-01,Madhya Pradesh,Shajapur,97708
2025-01,Madhya Pradesh,Sheopur,43241
2025-01,Madhya Pradesh,Shivpuri,129391
2025-01,Madhya Pradesh,Sidhi,96191
2025-01,Madhya Pradesh,Singrauli,85936
2025-01,Madhya Pradesh,Tikamgarh,127223
2025-01,Madhya Pradesh,Ujjain,94055
2025-01,Madhya Pradesh,Umaria,24317
2025-01,Madhya Pradesh,Vidisha,85456
2025-01,Madhya Pradesh,West Nimar,6439
2025-01,Maharashtra,Ahmadnagar,178009
2025-01,Maharashtra,Ahmed Nagar,1574
2025-01,Maharashtra,Akola,107400
2025-01,Maharashtra,Amravati,196128
2025-01,Maharashtra,Aurangabad,177960
2025-01,Maharashtra,Beed,149042
2025-01,Maharashtra,Bhandara,56116
2025-01,Maharashtra,Bid,3448
2025-01,Maharashtra,Buldana,15626
2025-01,Maharashtra,Buldhana,107613
2025-01,Maharashtra,Chandrapur,118833
2025-01,Maharashtra,Chatrapati Sambhaji Nagar,1623
2025-01,Maharashtra,Chhatrapati Sambhajinagar,3223
2025-01,Maharashtra,Dharashiv,282
2025-01,Maharashtra,Dhule,117930
2025-01,Maharashtra,Gadchiroli,67155
2025-01,Maharashtra,Gondia,17
2025-01,Maharashtra,Gondiya,50403
2025-01,Maharashtra,Gondiya *,65
2025-01,Maharashtra,Hingoli,63235
2025-01,Maharashtra,Jalgaon,240894
2025-01,Maharashtra,Jalna,106507
2025-01,Maharashtra,Kolhapur,158379
2025-01,Maharashtra,Latur,161882
2025-01,Maharashtra,Mumbai,227774
2025-01,Maharashtra,Mumbai City,26296
2025-01,Maharashtra,Mumbai Suburban,96033
2025-01,Maharashtra,Mumbai( Sub Urban ),426
2025-01,Maharashtra,Nagpur,208436
2025-01,Maharashtra,Nanded,196525
2025-01,Maharashtra,Nandurbar,124111
2025-01,Maharashtra,Nandurbar *,55
2025-01,Maharashtra,Nashik,313484
2025-01,Maharashtra,Osmanabad,99090
2025-01,Maharashtra,Palghar,87027
2025-01,Maharashtra,Parbhani,108930
2025-01,Maharashtra,Pune,352412
2025-01,Maharashtra,Raigad,8055
2025-01,Maharashtra,Raigarh,84254
2025-01,Maharashtra,Raigarh(MH),11
2025-01,Maharashtra,Ratnagiri,64930
2025-01,Maharashtra,Sangli,118679
2025-01,Maharashtra,Satara,110439
2025-01,Maharashtra,Sindhudurg,22872
2025-01,Maharashtra,Solapur,193935
2025-01,Maharashtra,Thane,309333
2025-01,Maharashtra,Wardha,64577
2025-01,Maharashtra,Washim,72891
2025-01,Maharashtra,Washim *,27
2025-01,Maharashtra,Yavatmal,172523
2025-01,Manipur,Bishnupur,15169
2025-01,Manipur,Chandel,4841
2025-01,Manipur,Churachandpur,10251
2025-01,Manipur,Imphal East,32520
2025-01,Manipur,Imphal West,29890
2025-01,Manipur,Jiribam,1470
2025-01,Manipur,Kakching,1248
2025-01,Manipur,Senapati,12807
2025-01,Manipur,Tamenglong,4109
2025-01,Manipur,Thoubal,29989
2025-01,Manipur,Ukhrul,8180
2025-01,Meghalaya,East Garo Hills,2038
2025-01,Meghalaya,East Jaintia Hills,1378
2025-01,Meghalaya,East Khasi Hills,13658
2025-01,Meghalaya,Eastern West Khasi Hills,1
2025-01,Meghalaya,North Garo Hills,764
2025-01,Meghalaya,Ri Bhoi,2255
2025-01,Meghalaya,South Garo Hills,835
2025-01,Meghalaya,South West Garo Hills,2964
2025-01,Meghalaya,South West Khasi Hills,2068
2025-01,Meghalaya,West Garo Hills,27043
2025-01,Meghalaya,West Jaintia Hills,3765
2025-01,Meghalaya,West Khasi Hills,4173
2025-01,Mizoram,Aizawl,28853
2025-01,Mizoram,Champhai,14102
2025-01,Mizoram,Hnahthial,1
2025-01,Mizoram,Kolasib,9490
2025-01,Mizoram,Lawngtlai,10237
2025-01,Mizoram,Lunglei,13721
2025-01,Mizoram,Mamit,9454
2025-01,Mizoram,Mammit,2463
2025-01,Mizoram,Saiha,4865
2025-01,Mizoram,Saitual,53
2025-01,Mizoram,Serchhip,6404
2025-01,Nagaland,Chumukedima,474
2025-01,Nagaland,Dimapur,14775
2025-01,Nagaland,Kiphire,2907
2025-01,Nagaland,Kohima,9311
2025-01,Nagaland,Longleng,2094
2025-01,Nagaland,Meluri,24
2025-01,Nagaland,Mokokchung,5349
2025-01,Nagaland,Mon,8716
2025-01,Nagaland,Niuland,194
2025-01,Nagaland,Noklak,503
2025-01,Nagaland,Peren,3091
2025-01,Nagaland,Phek,6317
2025-01,Nagaland,Shamator,70
2025-01,Nagaland,Tseminyu,134
2025-01,Nagaland,Tuensang,6457
2025-01,Nagaland,Wokha,5110
2025-01,Nagaland,Zunheboto,5576
2025-01,ODISHA,NUAPADA,2
2025-01,Odisha,ANUGUL,184
2025-01,Odisha,Angul,39502
2025-01,Odisha,Anugal,1
2025-01,Odisha,Anugul,542
2025-01,Odisha,Balangir,58219
2025-01,Odisha,Baleshwar,11869
2025-01,Odisha,Baleswar,62174
2025-01,Odisha,Bargarh,49068
2025-01,Odisha,Baudh,3046
2025-01,Odisha,Bhadrak,59550
2025-01,Odisha,Boudh,14075
2025-01,Odisha,Cuttack,89905
2025-01,Odisha,Debagarh,9942
2025-01,Odisha,Dhenkanal,50113
2025-01,Odisha,Gajapati,38392
2025-01,Odisha,Ganjam,117219
2025-01,Odisha,JAJPUR,25013
2025-01,Odisha,Jagatsinghapur,27577
2025-01,Odisha,Jagatsinghpur,5400
2025-01,Odisha,Jajapur,38949
2025-01,Odisha,Jajpur,151
2025-01,Odisha,Jharsuguda,15017
2025-01,Odisha,Kalahandi,63771
2025-01,Odisha,Kandhamal,39193
2025-01,Odisha,Kendrapara,48424
2025-01,Odisha,Kendujhar,68076
2025-01,Odisha,Khorda,61737
2025-01,Odisha,Khordha,3823
2025-01,Odisha,Koraput,71816
2025-01,Odisha,Malkangiri,33164
2025-01,Odisha,Mayurbhanj,103965
2025-01,Odisha,NUAPADA,55
2025-01,Odisha,Nabarangapur,64521
2025-01,Odisha,Nayagarh,40313
2025-01,Odisha,Nuapada,29379
2025-01,Odisha,Puri,43532
2025-01,Odisha,Rayagada,39303
2025-01,Odisha,Sambalpur,32825
2025-01,Odisha,Sonapur,16519
2025-01,Odisha,Subarnapur,4515
2025-01,Odisha,Sundargarh,9469
2025-01,Odisha,Sundergarh,65382
2025-01,Odisha,jajpur,105
2025-01,Orissa,Angul,1
2025-01,Orissa,Anugul,10
