year_month,state,district,enrolment_total
2025-01,Gujarat,Chhotaudepur,2718
2025-01,Gujarat,Dahod,4381
2025-01,Gujarat,Dang,872
2025-01,Gujarat,Devbhumi Dwarka,1114
2025-01,Gujarat,Dohad,11239
2025-01,Gujarat,Gandhinagar,1999
2025-01,Gujarat,Gir Somnath,3361
2025-01,Gujarat,Jamnagar,1964
2025-01,Gujarat,Junagadh,412
2025-01,Gujarat,Kachchh,3256
2025-01,Gujarat,Kheda,1588
2025-01,Gujarat,Mahesana,2011
2025-01,Gujarat,Mahisagar,892
2025-01,Gujarat,Morbi,5753
2025-01,Gujarat,Narmada,44
2025-01,Gujarat,Navsari,655
2025-01,Gujarat,Panch Mahals,1324
2025-01,Gujarat,Panchmahals,1460
2025-01,Gujarat,Patan,5075
2025-01,Gujarat,Porbandar,1260
2025-01,Gujarat,Rajkot,8601
2025-01,Gujarat,Sabar Kantha,2280
2025-01,Gujarat,Sabarkantha,971
2025-01,Gujarat,Surat,10859
2025-01,Gujarat,Surendra Nagar,1258
2025-01,Gujarat,Surendranagar,1312
2025-01,Gujarat,Tapi,134
2025-01,Gujarat,The Dangs,414
2025-01,Gujarat,Vadodara,2898
2025-01,Gujarat,Valsad,2246
2025-01,Haryana,Ambala,313
2025-01,Haryana,Bhiwani,67
2025-01,Haryana,Charkhi Dadri,16
2025-01,Haryana,Faridabad,9166
2025-01,Haryana,Fatehabad,37
2025-01,Haryana,Gurgaon,1517
2025-01,Haryana,Gurugram,2586
2025-01,Haryana,Hisar,504
2025-01,Haryana,Jhajjar,44
2025-01,Haryana,Jind,82
2025-01,Haryana,Kaithal,480
2025-01,Haryana,Karnal,59
2025-01,Haryana,Kurukshetra,127
2025-01,Haryana,Mahendragarh,69
2025-01,Haryana,Mewat,1479
2025-01,Haryana,Nuh,1506
2025-01,Haryana,Palwal,100
2025-01,Haryana,Panchkula,8
2025-01,Haryana,Panipat,2479
2025-01,Haryana,Rewari,50
2025-01,Haryana,Rohtak,568
2025-01,Haryana,Sirsa,36
2025-01,Haryana,Sonipat,523
2025-01,Haryana,Yamuna Nagar,27
2025-01,Himachal Pradesh,Bilaspur,12
2025-01,Himachal Pradesh,Chamba,9
2025-01,Himachal Pradesh,Hamirpur,19
2025-01,Himachal Pradesh,Kangra,66
2025-01,Himachal Pradesh,Kullu,124
2025-01,Himachal Pradesh,Lahul and Spiti,1
2025-01,Himachal Pradesh,Mandi,23
2025-01,Himachal Pradesh,Shimla,10
2025-01,Himachal Pradesh,Sirmaur,9
2025-01,Himachal Pradesh,Solan,16
2025-01,Himachal Pradesh,Una,14
2025-01,Jammu & Kashmir,Jammu,1
2025-01,Jammu & Kashmir,Kargil,1
2025-01,Jammu And Kashmir,Doda,538
2025-01,Jammu And Kashmir,Shopian,412
2025-01,Jammu and Kashmir,Anantnag,89
2025-01,Jammu and Kashmir,Badgam,43
2025-01,Jammu and Kashmir,Bandipore,52
2025-01,Jammu and Kashmir,Baramula,257
2025-01,Jammu and Kashmir,Budgam,24
2025-01,Jammu and Kashmir,Doda,63
2025-01,Jammu and Kashmir,Ganderbal,22
2025-01,Jammu and Kashmir,Jammu,157
2025-01,Jammu and Kashmir,Kargil,21
2025-01,Jammu and Kashmir,Kathua,42
2025-01,Jammu and Kashmir,Kishtwar,11
2025-01,Jammu and Kashmir,Kulgam,31
2025-01,Jammu and Kashmir,Kupwara,75
2025-01,Jammu and Kashmir,Leh,2
2025-01,Jammu and Kashmir,Pulwama,45
2025-01,Jammu and Kashmir,Punch,239
2025-01,Jammu and Kashmir,Rajouri,41
2025-01,Jammu and Kashmir,Ramban,19
2025-01,Jammu and Kashmir,Reasi,25
2025-01,Jammu and Kashmir,Samba,10
2025-01,Jammu and Kashmir,Shupiyan,9
2025-01,Jammu and Kashmir,Srinagar,75
2025-01,Jammu and Kashmir,Udhampur,35
2025-01,Jharkhand,Bokaro,154
2025-01,Jharkhand,Chatra,1160
2025-01,Jharkhand,Deoghar,860
2025-01,Jharkhand,Dhanbad,1730
2025-01,Jharkhand,Dumka,596
2025-01,Jharkhand,East Singhbhum,582
2025-01,Jharkhand,East Singhbum,1447
2025-01,Jharkhand,Garhwa,125
2025-01,Jharkhand,Garhwa *,7
2025-01,Jharkhand,Giridih,2210
2025-01,Jharkhand,Godda,267
2025-01,Jharkhand,Gumla,1222
2025-01,Jharkhand,Hazaribag,10
2025-01,Jharkhand,Hazaribagh,357
2025-01,Jharkhand,Jamtara,69
2025-01,Jharkhand,Khunti,660
2025-01,Jharkhand,Kodarma,9
2025-01,Jharkhand,Koderma,104
2025-01,Jharkhand,Latehar,55
2025-01,Jharkhand,Lohardaga,710
2025-01,Jharkhand,Pakaur,19
2025-01,Jharkhand,Pakur,4212
2025-01,Jharkhand,Palamau,8
2025-01,Jharkhand,Palamu,191
2025-01,Jharkhand,Pashchimi Singhbhum,11
2025-01,Jharkhand,Purbi Singhbhum,25
2025-01,Jharkhand,Ramgarh,66
2025-01,Jharkhand,Ranchi,3461
2025-01,Jharkhand,Sahebganj,122
2025-01,Jharkhand,Sahibganj,6
2025-01,Jharkhand,Seraikela-Kharsawan,62
2025-01,Jharkhand,Seraikela-kharsawan,24
2025-01,Jharkhand,Simdega,65
2025-01,Jharkhand,West Singhbhum,848
2025-01,Karnataka,Bagalkot,193
2025-01,Karnataka,Bagalkot *,4
2025-01,Karnataka,Ballari,74
2025-01,Karnataka,Bangalore,142
2025-01,Karnataka,Bangalore Rural,288
2025-01,Karnataka,Belagavi,159
2025-01,Karnataka,Belgaum,166
2025-01,Karnataka,Bellary,156
2025-01,Karnataka,Bengaluru,13455
2025-01,Karnataka,Bengaluru Rural,2788
2025-01,Karnataka,Bengaluru South,3
2025-01,Karnataka,Bengaluru Urban,22342
2025-01,Karnataka,Bidar,304
2025-01,Karnataka,Bijapur,148
2025-01,Karnataka,Chamarajanagar,7
2025-01,Karnataka,Chamarajanagar *,1
2025-01,Karnataka,Chamrajanagar,43
2025-01,Karnataka,Chamrajnagar,6
2025-01,Karnataka,Chickmagalur,25
2025-01,Karnataka,Chikkaballapur,77
2025-01,Karnataka,Chikkamagaluru,25
2025-01,Karnataka,Chikmagalur,2
2025-01,Karnataka,Chitradurga,109
2025-01,Karnataka,Dakshina Kannada,110
2025-01,Karnataka,Davanagere,13
2025-01,Karnataka,Davangere,100
2025-01,Karnataka,Dharwad,136
2025-01,Karnataka,Gadag,90
2025-01,Karnataka,Gadag *,6
2025-01,Karnataka,Gulbarga,84
2025-01,Karnataka,Hasan,20
2025-01,Karnataka,Hassan,53
2025-01,Karnataka,Haveri,102
2025-01,Karnataka,Haveri *,1
2025-01,Karnataka,Kalaburagi,698
2025-01,Karnataka,Kodagu,14
2025-01,Karnataka,Kolar,121
2025-01,Karnataka,Koppal,115
2025-01,Karnataka,Mandya,80
2025-01,Karnataka,Mysore,76
2025-01,Karnataka,Mysuru,1174
2025-01,Karnataka,Raichur,612
2025-01,Karnataka,Ramanagar,101
2025-01,Karnataka,Ramanagara,204
2025-01,Karnataka,Shimoga,42
2025-01,Karnataka,Shivamogga,44
2025-01,Karnataka,Tumakuru,72
2025-01,Karnataka,Tumkur,73
2025-01,Karnataka,Udupi,141
2025-01,Karnataka,Uttara Kannada,72
2025-01,Karnataka,Vijayanagara,60
2025-01,Karnataka,Vijayapura,619
2025-01,Karnataka,Yadgir,803
2025-01,Karnataka,yadgir,17
2025-01,Kerala,Alappuzha,50
2025-01,Kerala,Ernakulam,485
2025-01,Kerala,Idukki,32
2025-01,Kerala,Kannur,185
2025-01,Kerala,Kasaragod,67
2025-01,Kerala,Kasargod,5
2025-01,Kerala,Kollam,167
2025-01,Kerala,Kottayam,66
2025-01,Kerala,Kozhikode,134
2025-01,Kerala,Malappuram,530
2025-01,Kerala,Palakkad,133
2025-01,Kerala,Pathanamthitta,58
2025-01,Kerala,Thiruvananthapuram,362
2025-01,Kerala,Thrissur,184
2025-01,Kerala,Wayanad,20
2025-01,Ladakh,Kargil,15
2025-01,Lakshadweep,Lakshadweep,3
2025-01,Madhya Pradesh,Agar Malwa,38
2025-01,Madhya Pradesh,Alirajpur,2973
2025-01,Madhya Pradesh,Anuppur,26
2025-01,Madhya Pradesh,Ashok Nagar,870
2025-01,Madhya Pradesh,Ashoknagar,3011
2025-01,Madhya Pradesh,Balaghat,509
2025-01,Madhya Pradesh,Barwani,13677
2025-01,Madhya Pradesh,Betul,1324
2025-01,Madhya Pradesh,Bhind,7073
2025-01,Madhya Pradesh,Bhopal,2521
2025-01,Madhya Pradesh,Burhanpur,6581
2025-01,Madhya Pradesh,Chhatarpur,6109
2025-01,Madhya Pradesh,Chhindwara,209
2025-01,Madhya Pradesh,Damoh,149
2025-01,Madhya Pradesh,Datia,1222
2025-01,Madhya Pradesh,Dewas,2127
2025-01,Madhya Pradesh,Dhar,3263
2025-01,Madhya Pradesh,Dindori,59
2025-01,Madhya Pradesh,East Nimar,537
2025-01,Madhya Pradesh,Guna,2033
2025-01,Madhya Pradesh,Gwalior,8334
2025-01,Madhya Pradesh,Harda,45
2025-01,Madhya Pradesh,Harda *,21
2025-01,Madhya Pradesh,Hoshangabad,379
2025-01,Madhya Pradesh,Indore,7544
2025-01,Madhya Pradesh,Jabalpur,827
2025-01,Madhya Pradesh,Jhabua,5324
2025-01,Madhya Pradesh,Katni,1577
2025-01,Madhya Pradesh,Khandwa,1373
2025-01,Madhya Pradesh,Khargone,6850
2025-01,Madhya Pradesh,Maihar,6
2025-01,Madhya Pradesh,Mandla,76
2025-01,Madhya Pradesh,Mandsaur,90
2025-01,Madhya Pradesh,Mauganj,8
2025-01,Madhya Pradesh,Morena,11215
2025-01,Madhya Pradesh,Narmadapuram,14
2025-01,Madhya Pradesh,Narsimhapur,27
2025-01,Madhya Pradesh,Narsinghpur,628
2025-01,Madhya Pradesh,Neemuch,81
2025-01,Madhya Pradesh,Niwari,2
2025-01,Madhya Pradesh,Pandhurna,1
2025-01,Madhya Pradesh,Panna,1009
2025-01,Madhya Pradesh,Raisen,685
2025-01,Madhya Pradesh,Rajgarh,125
2025-01,Madhya Pradesh,Ratlam,78
2025-01,Madhya Pradesh,Rewa,193
2025-01,Madhya Pradesh,Sagar,2271
2025-01,Madhya Pradesh,Satna,1320
2025-01,Madhya Pradesh,Sehore,1774
2025-01,Madhya Pradesh,Seoni,161
2025-01,Madhya Pradesh,Shahdol,76
2025-01,Madhya Pradesh,Shajapur,128
2025-01,Madhya Pradesh,Sheopur,3050
2025-01,Madhya Pradesh,Shivpuri,3268
2025-01,Madhya Pradesh,Sidhi,109
2025-01,Madhya Pradesh,Singrauli,147
2025-01,Madhya Pradesh,Tikamgarh,119
2025-01,Madhya Pradesh,Ujjain,322
2025-01,Madhya Pradesh,Umaria,103
2025-01,Madhya Pradesh,Vidisha,3210
2025-01,Madhya Pradesh,West Nimar,17
2025-01,Maharashtra,Ahmadnagar,293
2025-01,Maharashtra,Ahmed Nagar,5
2025-01,Maharashtra,Ahmednagar,368
2025-01,Maharashtra,Akola,695
2025-01,Maharashtra,Amravati,1133
2025-01,Maharashtra,Aurangabad,4819
2025-01,Maharashtra,Beed,4211
2025-01,Maharashtra,Bhandara,44
2025-01,Maharashtra,Bid,8
2025-01,Maharashtra,Buldana,12
2025-01,Maharashtra,Buldhana,1880
2025-01,Maharashtra,Chandrapur,933
2025-01,Maharashtra,Chatrapati Sambhaji Nagar,5
2025-01,Maharashtra,Chhatrapati Sambhajinagar,24
2025-01,Maharashtra,Dharashiv,1
2025-01,Maharashtra,Dhule,4573
2025-01,Maharashtra,Gadchiroli,33
2025-01,Maharashtra,Gondia,1
2025-01,Maharashtra,Gondiya,60
2025-01,Maharashtra,Gondiya *,3
2025-01,Maharashtra,Hingoli,4851
2025-01,Maharashtra,Jalgaon,2825
2025-01,Maharashtra,Jalna,100
2025-01,Maharashtra,Kolhapur,147
2025-01,Maharashtra,Latur,1713
2025-01,Maharashtra,Mumbai,1141
2025-01,Maharashtra,Mumbai City,46
2025-01,Maharashtra,Mumbai Suburban,7844
2025-01,Maharashtra,Mumbai( Sub Urban ),10
2025-01,Maharashtra,Nagpur,2131
2025-01,Maharashtra,Nanded,3654
2025-01,Maharashtra,Nandurbar,3944
2025-01,Maharashtra,Nandurbar *,2
2025-01,Maharashtra,Nashik,5209
2025-01,Maharashtra,Osmanabad,408
2025-01,Maharashtra,Palghar,2479
2025-01,Maharashtra,Parbhani,748
2025-01,Maharashtra,Pune,6629
2025-01,Maharashtra,Raigad,1523
2025-01,Maharashtra,Raigarh,41
2025-01,Maharashtra,Ratnagiri,20
2025-01,Maharashtra,Sangli,2314
2025-01,Maharashtra,Satara,1120
2025-01,Maharashtra,Sindhudurg,12
2025-01,Maharashtra,Solapur,2054
2025-01,Maharashtra,Thane,17906
2025-01,Maharashtra,Wardha,15
2025-01,Maharashtra,Washim,701
2025-01,Maharashtra,Yavatmal,1729
2025-01,Manipur,Bishnupur,205
2025-01,Manipur,Chandel,33
2025-01,Manipur,Churachandpur,2900
2025-01,Manipur,Imphal East,22
2025-01,Manipur,Imphal West,128
2025-01,Manipur,Jiribam,1
2025-01,Manipur,Kakching,3
2025-01,Manipur,Senapati,32
2025-01,Manipur,Tamenglong,22
2025-01,Manipur,Thoubal,21
2025-01,Manipur,Ukhrul,8
2025-01,Meghalaya,East Garo Hills,4802
2025-01,Meghalaya,East Jaintia Hills,4254
2025-01,Meghalaya,East Khasi Hills,22688
2025-01,Meghalaya,Eastern West Khasi Hills,10
2025-01,Meghalaya,Kamrup,143
2025-01,Meghalaya,North Garo Hills,2100
2025-01,Meghalaya,Ri Bhoi,7261
2025-01,Meghalaya,South Garo Hills,3211
2025-01,Meghalaya,South West Garo Hills,4078
2025-01,Meghalaya,South West Khasi Hills,2696
2025-01,Meghalaya,West Garo Hills,12883
2025-01,Meghalaya,West Jaintia Hills,9289
2025-01,Meghalaya,West Khasi Hills,13000
2025-01,Mizoram,Aizawl,20
2025-01,Mizoram,Champhai,684
2025-01,Mizoram,Kolasib,87
2025-01,Mizoram,Lawngtlai,889
2025-01,Mizoram,Lunglei,323
2025-01,Mizoram,Mamit,6
2025-01,Mizoram,Mammit,1
2025-01,Mizoram,Saiha,344
2025-01,Mizoram,Saitual,2
2025-01,Mizoram,Serchhip,11
2025-01,Nagaland,Chumukedima,87
2025-01,Nagaland,Dimapur,2363
2025-01,Nagaland,Kiphire,320
2025-01,Nagaland,Kohima,916
2025-01,Nagaland,Longleng,727
2025-01,Nagaland,Meluri,1
2025-01,Nagaland,Mokokchung,226
2025-01,Nagaland,Mon,1212
2025-01,Nagaland,Noklak,136
2025-01,Nagaland,Peren,1190
2025-01,Nagaland,Phek,460
2025-01,Nagaland,Shamator,2
2025-01,Nagaland,Tuensang,1028
2025-01,Nagaland,Wokha,257
2025-01,Nagaland,Zunheboto,364
2025-01,Odisha,Angul,85
2025-01,Odisha,Anugul,14
2025-01,Odisha,Balangir,170
2025-01,Odisha,Baleshwar,20
2025-01,Odisha,Baleswar,186
2025-01,Odisha,Bargarh,154
2025-01,Odisha,Baudh,9
2025-01,Odisha,Bhadrak,153
2025-01,Odisha,Boudh,55
2025-01,Odisha,Cuttack,125
2025-01,Odisha,Debagarh,29
2025-01,Odisha,Dhenkanal,96
2025-01,Odisha,Gajapati,63
2025-01,Odisha,Ganjam,256
2025-01,Odisha,JAJPUR,81
2025-01,Odisha,Jagatsinghapur,52
2025-01,Odisha,Jagatsinghpur,12
2025-01,Odisha,Jajapur,87
2025-01,Odisha,Jharsuguda,29
2025-01,Odisha,Kalahandi,190
2025-01,Odisha,Kandhamal,110
2025-01,Odisha,Kendrapara,90
2025-01,Odisha,Kendujhar,195
2025-01,Odisha,Khorda,93
2025-01,Odisha,Khordha,91
2025-01,Odisha,Koraput,175
2025-01,Odisha,Malkangiri,54
2025-01,Odisha,Mayurbhanj,355
2025-01,Odisha,NUAPADA,3
2025-01,Odisha,Nabarangapur,476
2025-01,Odisha,Nabarangpur,442
2025-01,Odisha,Nayagarh,69
2025-01,Odisha,Nuapada,71
2025-01,Odisha,Puri,103
2025-01,Odisha,Rayagada,99
2025-01,Odisha,Sambalpur,96
2025-01,Odisha,Sonapur,59
2025-01,Odisha,Subarnapur,12
2025-01,Odisha,Sundargarh,20
2025-01,Odisha,Sundergarh,168
2025-01,Orissa,Anugul,2
2025-01,Orissa,Balangir,18
2025-01,Orissa,Baleshwar,11
2025-01,Orissa,Bargarh,4
2025-01,Orissa,Bhadrak,11
2025-01,Orissa,Cuttack,8
2025-01,Orissa,Dhenkanal,3
2025-01,Orissa,Gajapati,2
2025-01,Orissa,Ganjam,22
2025-01,Orissa,Jajapur,5
2025-01,Orissa,Jharsuguda,1
2025-01,Orissa,Kandhamal,1
2025-01,Orissa,Kendrapara,2
2025-01,Orissa,Kendujhar,1
2025-01,Orissa,Khordha,12
2025-01,Orissa,Koraput,2
2025-01,Orissa,Malkangiri,3
2025-01,Orissa,Mayurbhanj,2
2025-01,Orissa,Nayagarh,2
2025-01,Orissa,Puri,4
2025-01,Orissa,Rayagada,4
2025-01,Orissa,Subarnapur,1
2025-01,Orissa,Sundargarh,6
2025-01,Pondicherry,Karaikal,4
2025-01,Pondicherry,Pondicherry,64
2025-01,Puducherry,Karaikal,9
2025-01,Puducherry,Puducherry,70
2025-01,Puducherry,Yanam,1
2025-01,Punjab,Amritsar,4168
2025-01,Punjab,Barnala,49
2025-01,Punjab,Bathinda,78
2025-01,Punjab,Faridkot,34
2025-01,Punjab,Fatehgarh Sahib,35
2025-01,Punjab,Fazilka,77
2025-01,Punjab,Ferozepur,69
2025-01,Punjab,Firozpur,20
2025-01,Punjab,Gurdaspur,1274
2025-01,Punjab,Hoshiarpur,1395
2025-01,Punjab,Jalandhar,49
2025-01,Punjab,Kapurthala,2019
2025-01,Punjab,Ludhiana,9424
2025-01,Punjab,Malerkotla,35
2025-01,Punjab,Mansa,68
2025-01,Punjab,Moga,57
2025-01,Punjab,Muktsar,25
2025-01,Punjab,Nawanshahr,3
