year_month,state,district,demographic_total
2025-01,Andhra Pradesh,Sri Sathya Sai,9534
2025-01,Andhra Pradesh,Srikakulam,73806
2025-01,Andhra Pradesh,Tirupati,17638
2025-01,Andhra Pradesh,Visakhapatnam,78273
2025-01,Andhra Pradesh,Vizianagaram,35279
2025-01,Andhra Pradesh,Warangal,8149
2025-01,Andhra Pradesh,West Godavari,57687
2025-01,Andhra Pradesh,Y. S. R,15829
2025-01,Arunachal Pradesh,Anjaw,250
2025-01,Arunachal Pradesh,Changlang,1551
2025-01,Arunachal Pradesh,Dibang Valley,3
2025-01,Arunachal Pradesh,East Kameng,66
2025-01,Arunachal Pradesh,East Siang,232
2025-01,Arunachal Pradesh,Kamle,11
2025-01,Arunachal Pradesh,Kra Daadi,134
2025-01,Arunachal Pradesh,Kurung Kumey,30
2025-01,Arunachal Pradesh,Leparada,1
2025-01,Arunachal Pradesh,Lohit,295
2025-01,Arunachal Pradesh,Longding,338
2025-01,Arunachal Pradesh,Lower Dibang Valley,294
2025-01,Arunachal Pradesh,Lower Siang,101
2025-01,Arunachal Pradesh,Lower Subansiri,387
2025-01,Arunachal Pradesh,Namsai,704
2025-01,Arunachal Pradesh,Papum Pare,1581
2025-01,Arunachal Pradesh,Shi-yomi,7
2025-01,Arunachal Pradesh,Siang,202
2025-01,Arunachal Pradesh,Tawang,162
2025-01,Arunachal Pradesh,Tirap,272
2025-01,Arunachal Pradesh,Upper Siang,67
2025-01,Arunachal Pradesh,Upper Subansiri,695
2025-01,Arunachal Pradesh,West Kameng,262
2025-01,Arunachal Pradesh,West Siang,1345
2025-01,Assam,Bajali,45
2025-01,Assam,Baksa,5380
2025-01,Assam,Barpeta,17717
2025-01,Assam,Biswanath,3286
2025-01,Assam,Bongaigaon,21000
2025-01,Assam,Cachar,14733
2025-01,Assam,Charaideo,2494
2025-01,Assam,Chirang,2320
2025-01,Assam,Darrang,7661
2025-01,Assam,Dhemaji,7104
2025-01,Assam,Dhubri,22863
2025-01,Assam,Dibrugarh,6943
2025-01,Assam,Dima Hasao,14
2025-01,Assam,Goalpara,15368
2025-01,Assam,Golaghat,9767
2025-01,Assam,Hailakandi,3727
2025-01,Assam,Hojai,7974
2025-01,Assam,Jorhat,6168
2025-01,Assam,Kamrup,10037
2025-01,Assam,Kamrup Metro,6736
2025-01,Assam,Karbi Anglong,7832
2025-01,Assam,Karimganj,7229
2025-01,Assam,Kokrajhar,6289
2025-01,Assam,Lakhimpur,11186
2025-01,Assam,Majuli,707
2025-01,Assam,Marigaon,11383
2025-01,Assam,Nagaon,25294
2025-01,Assam,Nalbari,5919
2025-01,Assam,North Cachar Hills,865
2025-01,Assam,Sibsagar,2016
2025-01,Assam,Sonitpur,11807
2025-01,Assam,South Salmara Mankachar,8998
2025-01,Assam,Sribhumi,179
2025-01,Assam,Tamulpur District,39
2025-01,Assam,Tinsukia,9244
2025-01,Assam,Udalguri,5779
2025-01,Assam,West Karbi Anglong,450
2025-01,Bihar,Araria,40494
2025-01,Bihar,Arwal,7427
2025-01,Bihar,Aurangabad,30327
2025-01,Bihar,Aurangabad(bh),39
2025-01,Bihar,Banka,28698
2025-01,Bihar,Begusarai,36073
2025-01,Bihar,Bhabua,10
2025-01,Bihar,Bhagalpur,51891
2025-01,Bihar,Bhojpur,36133
2025-01,Bihar,Buxar,21661
2025-01,Bihar,Darbhanga,38858
2025-01,Bihar,East Champaran,59114
2025-01,Bihar,Gaya,60349
2025-01,Bihar,Gopalganj,28729
2025-01,Bihar,Jamui,18604
2025-01,Bihar,Jehanabad,11496
2025-01,Bihar,Kaimur (Bhabua),11612
2025-01,Bihar,Katihar,50223
2025-01,Bihar,Khagaria,16181
2025-01,Bihar,Kishanganj,36650
2025-01,Bihar,Lakhisarai,9896
2025-01,Bihar,Madhepura,21786
2025-01,Bihar,Madhubani,49633
2025-01,Bihar,Monghyr,5
2025-01,Bihar,Munger,16042
2025-01,Bihar,Muzaffarpur,52545
2025-01,Bihar,Nalanda,30039
2025-01,Bihar,Nawada,20701
2025-01,Bihar,Pashchim Champaran,32
2025-01,Bihar,Patna,53695
2025-01,Bihar,Purba Champaran,16
2025-01,Bihar,Purnea,72
2025-01,Bihar,Purnia,31658
2025-01,Bihar,Rohtas,25079
2025-01,Bihar,Saharsa,22806
2025-01,Bihar,Samastipur,53739
2025-01,Bihar,Samstipur,9
2025-01,Bihar,Saran,48457
2025-01,Bihar,Sheikhpura,6055
2025-01,Bihar,Sheikpura,7
2025-01,Bihar,Sheohar,9226
2025-01,Bihar,Sitamarhi,53916
2025-01,Bihar,Siwan,32613
2025-01,Bihar,Supaul,33373
2025-01,Bihar,Vaishali,45657
2025-01,Bihar,West Champaran,51726
2025-01,Chandigarh,Chandigarh,57013
2025-01,Chandigarh,Rupnagar,1
2025-01,Chhattisgarh,Balod,32483
2025-01,Chhattisgarh,Baloda Bazar,51035
2025-01,Chhattisgarh,Balrampur,33869
2025-01,Chhattisgarh,Bastar,30482
2025-01,Chhattisgarh,Bemetara,27172
2025-01,Chhattisgarh,Bijapur,3811
2025-01,Chhattisgarh,Bilaspur,77407
2025-01,Chhattisgarh,Dakshin Bastar Dantewada,1243
2025-01,Chhattisgarh,Dantewada,454
2025-01,Chhattisgarh,Dhamtari,21714
2025-01,Chhattisgarh,Durg,39680
2025-01,Chhattisgarh,Gariyaband,5922
2025-01,Chhattisgarh,Gaurela-pendra-marwahi,916
2025-01,Chhattisgarh,Janjgir - Champa,7
2025-01,Chhattisgarh,Janjgir Champa,5
2025-01,Chhattisgarh,Janjgir-champa,55397
2025-01,Chhattisgarh,Jashpur,35041
2025-01,Chhattisgarh,Kabeerdham,16577
2025-01,Chhattisgarh,Kanker,7442
2025-01,Chhattisgarh,Kawardha,34465
2025-01,Chhattisgarh,Khairagarh Chhuikhadan Gandai,1751
2025-01,Chhattisgarh,Kondagaon,35446
2025-01,Chhattisgarh,Korba,50490
2025-01,Chhattisgarh,Koriya,11029
2025-01,Chhattisgarh,Mahasamund,95493
2025-01,Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,107
2025-01,Chhattisgarh,Mohalla-Manpur-Ambagarh Chowki,71
2025-01,Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,6874
2025-01,Chhattisgarh,Mungeli,39509
2025-01,Chhattisgarh,Narayanpur,12264
2025-01,Chhattisgarh,Raigarh,30011
2025-01,Chhattisgarh,Raipur,82942
2025-01,Chhattisgarh,Rajnandgaon,95021
2025-01,Chhattisgarh,Sakti,1197
2025-01,Chhattisgarh,Sarangarh-Bilaigarh,183
2025-01,Chhattisgarh,Sukma,1868
2025-01,Chhattisgarh,Surajpur,10960
2025-01,Chhattisgarh,Surguja,57548
2025-01,Chhattisgarh,Uttar Bastar Kanker,1686
2025-01,Dadra & Nagar Haveli,Dadra & Nagar Haveli,2
2025-01,Dadra and Nagar Haveli,Dadra and Nagar Haveli,1838
2025-01,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,37
2025-01,Dadra and Nagar Haveli and Daman and Diu,Daman,648
2025-01,Dadra and Nagar Haveli and Daman and Diu,Diu,192
2025-01,Daman & Diu,Daman,23
2025-01,Daman & Diu,Diu,2
2025-01,Daman and Diu,Daman,225
2025-01,Daman and Diu,Diu,4
2025-01,Delhi,Central Delhi,33030
2025-01,Delhi,East Delhi,145128
2025-01,Delhi,Najafgarh,3
2025-01,Delhi,New Delhi,2086
2025-01,Delhi,North Delhi,67329
2025-01,Delhi,North East,3330
2025-01,Delhi,North East Delhi,105294
2025-01,Delhi,North West Delhi,232673
2025-01,Delhi,Shahdara,20613
2025-01,Delhi,South Delhi,151340
2025-01,Delhi,South East Delhi,40
2025-01,Delhi,South West Delhi,116754
2025-01,Delhi,West Delhi,172169
2025-01,Goa,North Goa,4658
2025-01,Goa,South Goa,3781
2025-01,Goa,Tiswadi,2
2025-01,Gujarat,Ahmadabad,180
2025-01,Gujarat,Ahmedabad,132337
2025-01,Gujarat,Amreli,9039
2025-01,Gujarat,Anand,13131
2025-01,Gujarat,Arvalli,2249
2025-01,Gujarat,Banas Kantha,10
2025-01,Gujarat,Banaskantha,29499
2025-01,Gujarat,Bharuch,24240
2025-01,Gujarat,Bhavnagar,20230
2025-01,Gujarat,Botad,2845
2025-01,Gujarat,Chhotaudepur,3421
2025-01,Gujarat,Dahod,14723
2025-01,Gujarat,Devbhumi Dwarka,1857
2025-01,Gujarat,Dohad,1158
2025-01,Gujarat,Gandhinagar,38160
2025-01,Gujarat,Gir Somnath,4175
2025-01,Gujarat,Jamnagar,16095
2025-01,Gujarat,Junagadh,11773
2025-01,Gujarat,Kachchh,31856
2025-01,Gujarat,Kheda,21213
2025-01,Gujarat,Mahesana,22770
2025-01,Gujarat,Mahisagar,2075
2025-01,Gujarat,Morbi,11653
2025-01,Gujarat,Narmada,7370
2025-01,Gujarat,Navsari,11702
2025-01,Gujarat,Panch Mahals,12
2025-01,Gujarat,Panchmahals,8307
2025-01,Gujarat,Patan,9007
2025-01,Gujarat,Porbandar,4428
2025-01,Gujarat,Rajkot,77722
2025-01,Gujarat,Sabar Kantha,12
2025-01,Gujarat,Sabarkantha,14353
2025-01,Gujarat,Surat,213007
2025-01,Gujarat,Surendra Nagar,16229
2025-01,Gujarat,Surendranagar,28
2025-01,Gujarat,Tapi,4385
2025-01,Gujarat,The Dangs,3042
2025-01,Gujarat,Vadodara,35233
2025-01,Gujarat,Valsad,24106
2025-01,Haryana,Ambala,16029
2025-01,Haryana,Bhiwani,14918
2025-01,Haryana,Charkhi Dadri,5221
2025-01,Haryana,Faridabad,105994
2025-01,Haryana,Fatehabad,27406
2025-01,Haryana,Gurgaon,70810
2025-01,Haryana,Hisar,36507
2025-01,Haryana,Jhajjar,17733
2025-01,Haryana,Jind,27320
2025-01,Haryana,Kaithal,26107
2025-01,Haryana,Karnal,30865
2025-01,Haryana,Kurukshetra,16110
2025-01,Haryana,Mahendragarh,15440
2025-01,Haryana,Mewat,38155
2025-01,Haryana,Palwal,43723
2025-01,Haryana,Panchkula,20842
2025-01,Haryana,Panipat,46183
2025-01,Haryana,Rewari,25163
2025-01,Haryana,Rohtak,14465
2025-01,Haryana,Sirsa,31365
2025-01,Haryana,Sonipat,37388
2025-01,Haryana,Yamuna Nagar,30958
2025-01,Haryana,Yamunanagar,9
2025-01,Himachal Pradesh,Bilaspur,1796
2025-01,Himachal Pradesh,Chamba,5711
2025-01,Himachal Pradesh,Hamirpur,1411
2025-01,Himachal Pradesh,Kangra,9770
2025-01,Himachal Pradesh,Kinnaur,50
2025-01,Himachal Pradesh,Kullu,1929
2025-01,Himachal Pradesh,Lahul & Spiti,12
2025-01,Himachal Pradesh,Lahul and Spiti,6
2025-01,Himachal Pradesh,Mandi,4538
2025-01,Himachal Pradesh,Shimla,3538
2025-01,Himachal Pradesh,Sirmaur,10390
2025-01,Himachal Pradesh,Solan,2031
2025-01,Himachal Pradesh,Una,1981
2025-01,Jammu & Kashmir,Baramula,4
2025-01,Jammu & Kashmir,Jammu,4
2025-01,Jammu & Kashmir,Kathua,2
2025-01,Jammu & Kashmir,Kupwara,1
2025-01,Jammu and Kashmir,Anantnag,18294
2025-01,Jammu and Kashmir,Badgam,4469
2025-01,Jammu and Kashmir,Bandipore,8842
2025-01,Jammu and Kashmir,Bandipur,1
2025-01,Jammu and Kashmir,Baramula,19124
2025-01,Jammu and Kashmir,Budgam,14444
2025-01,Jammu and Kashmir,Doda,3918
2025-01,Jammu and Kashmir,Ganderbal,3315
2025-01,Jammu and Kashmir,Jammu,12687
2025-01,Jammu and Kashmir,Kargil,485
2025-01,Jammu and Kashmir,Kathua,9555
2025-01,Jammu and Kashmir,Kishtwar,3186
2025-01,Jammu and Kashmir,Kulgam,7843
2025-01,Jammu and Kashmir,Kupwara,30560
2025-01,Jammu and Kashmir,Leh,387
2025-01,Jammu and Kashmir,Pulwama,12629
2025-01,Jammu and Kashmir,Punch,15255
2025-01,Jammu and Kashmir,Rajouri,5680
2025-01,Jammu and Kashmir,Ramban,3357
2025-01,Jammu and Kashmir,Reasi,3531
2025-01,Jammu and Kashmir,Samba,2419
2025-01,Jammu and Kashmir,Shupiyan,4536
2025-01,Jammu and Kashmir,Srinagar,14586
2025-01,Jammu and Kashmir,Udhampur,8025
2025-01,Jharkhand,Bokaro,32916
2025-01,Jharkhand,Chatra,18105
2025-01,Jharkhand,Deoghar,28047
2025-01,Jharkhand,Dhanbad,54983
2025-01,Jharkhand,Dumka,26143
2025-01,Jharkhand,East Singhbhum,23034
2025-01,Jharkhand,Garhwa,10916
2025-01,Jharkhand,Garhwa *,144
2025-01,Jharkhand,Giridih,70030
2025-01,Jharkhand,Godda,19693
2025-01,Jharkhand,Gumla,12193
2025-01,Jharkhand,Hazaribag,3649
2025-01,Jharkhand,Hazaribagh,30279
2025-01,Jharkhand,Jamtara,13005
2025-01,Jharkhand,Khunti,8593
2025-01,Jharkhand,Kodarma,678
2025-01,Jharkhand,Koderma,12892
2025-01,Jharkhand,Latehar,14144
2025-01,Jharkhand,Lohardaga,6960
2025-01,Jharkhand,Pakaur,1483
2025-01,Jharkhand,Pakur,24840
2025-01,Jharkhand,Palamau,1443
2025-01,Jharkhand,Palamu,58248
2025-01,Jharkhand,Pashchimi Singhbhum,2756
2025-01,Jharkhand,Purbi Singhbhum,226
2025-01,Jharkhand,Ramgarh,15915
2025-01,Jharkhand,Ranchi,49858
2025-01,Jharkhand,Sahebganj,25129
2025-01,Jharkhand,Sahibganj,794
2025-01,Jharkhand,Seraikela-Kharsawan,9635
2025-01,Jharkhand,Seraikela-kharsawan,302
2025-01,Jharkhand,Simdega,10281
2025-01,Jharkhand,West Singhbhum,17320
2025-01,Karnataka,Bagalkot,24433
2025-01,Karnataka,Bagalkot *,147
2025-01,Karnataka,Ballari,15223
2025-01,Karnataka,Bangalore,10399
2025-01,Karnataka,Bangalore Rural,29204
2025-01,Karnataka,Belagavi,25022
2025-01,Karnataka,Belgaum,20619
2025-01,Karnataka,Bellary,7511
2025-01,Karnataka,Bengaluru,172000
2025-01,Karnataka,Bengaluru Rural,1
2025-01,Karnataka,Bengaluru South,128
2025-01,Karnataka,Bidar,18189
2025-01,Karnataka,Bijapur,10041
2025-01,Karnataka,Chamarajanagar,28
2025-01,Karnataka,Chamarajanagar *,4
2025-01,Karnataka,Chamrajanagar,5515
2025-01,Karnataka,Chamrajnagar,118
2025-01,Karnataka,Chickmagalur,1948
2025-01,Karnataka,Chikkaballapur,17186
2025-01,Karnataka,Chikkamagaluru,4876
2025-01,Karnataka,Chikmagalur,18
2025-01,Karnataka,Chitradurga,22719
2025-01,Karnataka,Dakshina Kannada,19475
2025-01,Karnataka,Davanagere,421
2025-01,Karnataka,Davangere,14633
2025-01,Karnataka,Dharwad,29802
2025-01,Karnataka,Gadag,13160
2025-01,Karnataka,Gadag *,167
2025-01,Karnataka,Gulbarga,4512
2025-01,Karnataka,Hasan,457
2025-01,Karnataka,Hassan,21179
2025-01,Karnataka,Haveri,35846
2025-01,Karnataka,Haveri *,292
2025-01,Karnataka,Kalaburagi,23192
2025-01,Karnataka,Kodagu,2899
2025-01,Karnataka,Kolar,24879
2025-01,Karnataka,Koppal,22244
2025-01,Karnataka,Mandya,18203
2025-01,Karnataka,Mysore,3560
2025-01,Karnataka,Mysuru,18352
2025-01,Karnataka,Raichur,20712
2025-01,Karnataka,Ramanagar,19113
2025-01,Karnataka,Shimoga,2986
2025-01,Karnataka,Shivamogga,12073
2025-01,Karnataka,Tumakuru,13059
2025-01,Karnataka,Tumkur,7178
2025-01,Karnataka,Udupi,8600
2025-01,Karnataka,Uttara Kannada,11541
2025-01,Karnataka,Vijayanagara,5840
2025-01,Karnataka,Vijayapura,13341
2025-01,Karnataka,Yadgir,15559
2025-01,Karnataka,yadgir,72
2025-01,Kerala,Alappuzha,4104
2025-01,Kerala,Ernakulam,12286
2025-01,Kerala,Idukki,2112
2025-01,Kerala,Kannur,8844
2025-01,Kerala,Kasaragod,5601
2025-01,Kerala,Kasargod,81
2025-01,Kerala,Kollam,8372
2025-01,Kerala,Kottayam,2329
2025-01,Kerala,Kozhikode,19875
2025-01,Kerala,Malappuram,27776
2025-01,Kerala,Palakkad,7516
2025-01,Kerala,Pathanamthitta,1407
2025-01,Kerala,Thiruvananthapuram,11649
2025-01,Kerala,Thrissur,7283
2025-01,Kerala,Wayanad,5022
2025-01,Ladakh,Kargil,974
2025-01,Ladakh,Leh,1663
2025-01,Lakshadweep,Lakshadweep,26
2025-01,Madhya Pradesh,Agar Malwa,4652
2025-01,Madhya Pradesh,Alirajpur,7808
2025-01,Madhya Pradesh,Anuppur,14988
2025-01,Madhya Pradesh,Ashok Nagar,30546
2025-01,Madhya Pradesh,Balaghat,56350
2025-01,Madhya Pradesh,Barwani,57992
2025-01,Madhya Pradesh,Betul,26300
2025-01,Madhya Pradesh,Bhind,28930
2025-01,Madhya Pradesh,Bhopal,52825
2025-01,Madhya Pradesh,Burhanpur,8586
2025-01,Madhya Pradesh,Chhatarpur,42231
2025-01,Madhya Pradesh,Chhindwara,61523
2025-01,Madhya Pradesh,Damoh,33326
2025-01,Madhya Pradesh,Datia,17484
2025-01,Madhya Pradesh,Dewas,29752
2025-01,Madhya Pradesh,Dhar,51594
2025-01,Madhya Pradesh,Dindori,36057
2025-01,Madhya Pradesh,East Nimar,3031
2025-01,Madhya Pradesh,Guna,32542
2025-01,Madhya Pradesh,Gwalior,42790
2025-01,Madhya Pradesh,Harda,6323
2025-01,Madhya Pradesh,Harda *,816
2025-01,Madhya Pradesh,Hoshangabad,3760
2025-01,Madhya Pradesh,Indore,121427
2025-01,Madhya Pradesh,Jabalpur,51819
2025-01,Madhya Pradesh,Jhabua,14704
2025-01,Madhya Pradesh,Katni,29408
2025-01,Madhya Pradesh,Khandwa,9976
2025-01,Madhya Pradesh,Khargone,19520
2025-01,Madhya Pradesh,Maihar,1110
2025-01,Madhya Pradesh,Mandla,38460
2025-01,Madhya Pradesh,Mandsaur,33482
2025-01,Madhya Pradesh,Mauganj,1036
2025-01,Madhya Pradesh,Morena,72753
2025-01,Madhya Pradesh,Narmadapuram,2077
2025-01,Madhya Pradesh,Narsimhapur,693
2025-01,Madhya Pradesh,Narsinghpur,13501
2025-01,Madhya Pradesh,Neemuch,22352
2025-01,Madhya Pradesh,Niwari,567
2025-01,Madhya Pradesh,Pandhurna,13
2025-01,Madhya Pradesh,Panna,23048
2025-01,Madhya Pradesh,Raisen,22041
2025-01,Madhya Pradesh,Rajgarh,22901
2025-01,Madhya Pradesh,Ratlam,56812
2025-01,Madhya Pradesh,Rewa,35219
2025-01,Madhya Pradesh,Sagar,50958
2025-01,Madhya Pradesh,Satna,47798
2025-01,Madhya Pradesh,Sehore,15725
2025-01,Madhya Pradesh,Seoni,49005
2025-01,Madhya Pradesh,Shahdol,33331
2025-01,Madhya Pradesh,Shajapur,13634
2025-01,Madhya Pradesh,Sheopur,24224
2025-01,Madhya Pradesh,Shivpuri,35667
2025-01,Madhya Pradesh,Sidhi,27667
2025-01,Madhya Pradesh,Singrauli,30472
2025-01,Madhya Pradesh,Tikamgarh,25439
2025-01,Madhya Pradesh,Ujjain,42779
2025-01,Madhya Pradesh,Umaria,17433
2025-01,Madhya Pradesh,Vidisha,28710
2025-01,Madhya Pradesh,West Nimar,116
2025-01,Maharashtra,Ahmadnagar,33971
2025-01,Maharashtra,Ahmed Nagar,171
2025-01,Maharashtra,Akola,12415
2025-01,Maharashtra,Amravati,20605
2025-01,Maharashtra,Aurangabad,35011
2025-01,Maharashtra,Beed,48849
2025-01,Maharashtra,Bhandara,7909
2025-01,Maharashtra,Bid,320
2025-01,Maharashtra,Buldana,832
2025-01,Maharashtra,Buldhana,16808
2025-01,Maharashtra,Chandrapur,18576
2025-01,Maharashtra,Chatrapati Sambhaji Nagar,4676
2025-01,Maharashtra,Chhatrapati Sambhajinagar,2066
2025-01,Maharashtra,Dharashiv,270
2025-01,Maharashtra,Dhule,10929
2025-01,Maharashtra,Gadchiroli,11551
2025-01,Maharashtra,Gondia,8
2025-01,Maharashtra,Gondiya,13812
2025-01,Maharashtra,Gondiya *,61
2025-01,Maharashtra,Hingoli,11663
2025-01,Maharashtra,Jalgaon,28580
2025-01,Maharashtra,Jalna,14224
2025-01,Maharashtra,Kolhapur,19007
2025-01,Maharashtra,Latur,29959
2025-01,Maharashtra,Mumbai,26352
2025-01,Maharashtra,Mumbai City,22540
2025-01,Maharashtra,Mumbai Suburban,92314
2025-01,Maharashtra,Mumbai( Sub Urban ),48
2025-01,Maharashtra,Nagpur,50048
2025-01,Maharashtra,Nanded,29156
2025-01,Maharashtra,Nandurbar,16247
2025-01,Maharashtra,Nandurbar *,15
2025-01,Maharashtra,Nashik,56449
2025-01,Maharashtra,Osmanabad,21191
2025-01,Maharashtra,Palghar,38929
2025-01,Maharashtra,Parbhani,16857
2025-01,Maharashtra,Pune,153187
2025-01,Maharashtra,Raigad,20286
2025-01,Maharashtra,Raigarh,12020
2025-01,Maharashtra,Raigarh(MH),36
2025-01,Maharashtra,Ratnagiri,5061
2025-01,Maharashtra,Sangli,10569
2025-01,Maharashtra,Satara,12731
2025-01,Maharashtra,Sindhudurg,2693
2025-01,Maharashtra,Solapur,42344
2025-01,Maharashtra,Thane,187972
2025-01,Maharashtra,Wardha,7136
2025-01,Maharashtra,Washim,6613
2025-01,Maharashtra,Washim *,10
2025-01,Maharashtra,Yavatmal,29394
2025-01,Manipur,Bishnupur,6442
2025-01,Manipur,Chandel,1849
2025-01,Manipur,Churachandpur,5420
2025-01,Manipur,Imphal East,4655
2025-01,Manipur,Imphal West,8104
2025-01,Manipur,Jiribam,344
2025-01,Manipur,Kakching,205
2025-01,Manipur,Senapati,4534
2025-01,Manipur,Tamenglong,1901
2025-01,Manipur,Thoubal,6392
2025-01,Manipur,Ukhrul,2161
2025-01,Meghalaya,East Garo Hills,3298
2025-01,Meghalaya,East Jaintia Hills,1464
2025-01,Meghalaya,East Khasi Hills,6319
2025-01,Meghalaya,Eastern West Khasi Hills,6
2025-01,Meghalaya,North Garo Hills,1630
2025-01,Meghalaya,Ri Bhoi,3633
2025-01,Meghalaya,South Garo Hills,2291
2025-01,Meghalaya,South West Garo Hills,3693
2025-01,Meghalaya,South West Khasi Hills,3300
2025-01,Meghalaya,West Garo Hills,5860
2025-01,Meghalaya,West Jaintia Hills,4097
2025-01,Meghalaya,West Khasi Hills,5497
2025-01,Mizoram,Aizawl,6237
2025-01,Mizoram,Champhai,4219
2025-01,Mizoram,Khawzawl,2
2025-01,Mizoram,Kolasib,2346
2025-01,Mizoram,Lawngtlai,2330
2025-01,Mizoram,Lunglei,4528
2025-01,Mizoram,Mamit,922
2025-01,Mizoram,Mammit,185
2025-01,Mizoram,Saiha,844
2025-01,Mizoram,Saitual,3
2025-01,Mizoram,Serchhip,1705
2025-01,Nagaland,Chumukedima,553
2025-01,Nagaland,Dimapur,2426
2025-01,Nagaland,Kiphire,783
2025-01,Nagaland,Kohima,997
2025-01,Nagaland,Longleng,31
2025-01,Nagaland,Meluri,6
2025-01,Nagaland,Mokokchung,912
2025-01,Nagaland,Mon,1495
2025-01,Nagaland,Niuland,168
2025-01,Nagaland,Noklak,24
2025-01,Nagaland,Peren,572
2025-01,Nagaland,Phek,356
2025-01,Nagaland,Tseminyu,1
2025-01,Nagaland,Tuensang,1394
2025-01,Nagaland,Wokha,1146
2025-01,Nagaland,Zunheboto,630
2025-01,ODISHA,NUAPADA,5
2025-01,Odisha,ANUGUL,6
2025-01,Odisha,Angul,10070
2025-01,Odisha,Anugul,60
2025-01,Odisha,Balangir,15264
2025-01,Odisha,Baleshwar,1006
2025-01,Odisha,Baleswar,18414
2025-01,Odisha,Bargarh,9769
2025-01,Odisha,Baudh,24
2025-01,Odisha,Bhadrak,15640
2025-01,Odisha,Bhadrak(R),1
2025-01,Odisha,Boudh,2309
2025-01,Odisha,Cuttack,20516
2025-01,Odisha,Debagarh,2408
2025-01,Odisha,Dhenkanal,9759
2025-01,Odisha,Gajapati,8888
2025-01,Odisha,Ganjam,37758
2025-01,Odisha,JAJPUR,8127
2025-01,Odisha,Jagatsinghapur,6973
2025-01,Odisha,Jagatsinghpur,190
2025-01,Odisha,Jajapur,8323
2025-01,Odisha,Jajpur,1
2025-01,Odisha,Jharsuguda,6848
2025-01,Odisha,Kalahandi,16322
2025-01,Odisha,Kandhamal,14672
2025-01,Odisha,Kendrapara,15714
2025-01,Odisha,Kendujhar,21715
2025-01,Odisha,Khorda,14854
2025-01,Odisha,Khordha,140
2025-01,Odisha,Koraput,13919
2025-01,Odisha,Malkangiri,8861
2025-01,Odisha,Mayurbhanj,25377
2025-01,Odisha,NUAPADA,8
2025-01,Odisha,Nabarangapur,16627
2025-01,Odisha,Nayagarh,9497
2025-01,Odisha,Nuapada,5459
2025-01,Odisha,Puri,9112
2025-01,Odisha,Rayagada,10890
2025-01,Odisha,Sambalpur,9969
2025-01,Odisha,Sonapur,5269
2025-01,Odisha,Subarnapur,1571
2025-01,Odisha,Sundargarh,592
2025-01,Odisha,Sundergarh,19747
2025-01,Odisha,jajpur,5
2025-01,Orissa,Anugul,5
2025-01,Orissa,Balangir,169
2025-01,Orissa,Baleshwar,65
2025-01,Orissa,Bargarh,28
2025-01,Orissa,Bhadrak,93
2025-01,Orissa,Cuttack,52
2025-01,Orissa,Dhenkanal,26
2025-01,Orissa,Gajapati,3
2025-01,Orissa,Ganjam,129
2025-01,Orissa,Jagatsinghapur,2
2025-01,Orissa,Jajapur,8
