year_month,state,district,enrolment_total,demographic_total,biometric_total,demo_update_rate,bio_update_rate,update_imbalance,demo_mom_delta,bio_mom_delta,z_demo_update_rate,z_bio_update_rate
2025-09,Andaman and Nicobar Islands,North And Middle Andaman,8,44.0,96.0,4.888888888888889,10.666666666666666,-0.36879432624113473,2.0,30.0,-0.38954741592519704,-0.3266062814497516
2025-10,Andaman and Nicobar Islands,North And Middle Andaman,6,41.0,107.0,5.857142857142857,15.285714285714286,-0.4429530201342282,-3.0,11.0,-0.3703298239170797,-0.30700247734832603
2025-11,Andaman and Nicobar Islands,North And Middle Andaman,5,57.0,96.0,9.5,16.0,-0.2532467532467532,16.0,-11.0,-0.2980275720176874,-0.3039709612501674
2025-12,Andaman and Nicobar Islands,North And Middle Andaman,3,61.0,118.0,15.25,29.5,-0.31666666666666665,4.0,22.0,-0.1839034293137447,-0.24667530699497
2025-01,Andaman and Nicobar Islands,South Andaman,8,633.0,6296.0,70.33333333333333,699.5555555555555,-0.8171717171717172,,,2.4297280618396333,3.003500021065124
2025-02,Andaman and Nicobar Islands,South Andaman,2,111.0,226.0,37.0,75.33333333333333,-0.34023668639053256,-522.0,-6070.0,0.47360070956091854,-0.10008066434397933
2025-03,Andaman and Nicobar Islands,South Andaman,4,189.0,173.0,37.8,34.6,0.0440771349862259,78.0,-53.0,0.5205477660156075,-0.302603391163306
2025-04,Andaman and Nicobar Islands,South Andaman,5,115.0,155.0,19.166666666666668,25.833333333333332,-0.14760147601476015,-74.0,-18.0,-0.5729274239081938,-0.3461905246767945
2025-05,Andaman and Nicobar Islands,South Andaman,6,103.0,173.0,14.714285714285714,24.714285714285715,-0.2527075812274368,-12.0,18.0,-0.8342101488197081,-0.3517543358531496
2025-07,Andaman and Nicobar Islands,South Andaman,3,101.0,65.0,25.25,16.25,0.2155688622754491,-2.0,-108.0,-0.21593418211732848,-0.3938380565594102
2025-08,Andaman and Nicobar Islands,South Andaman,12,58.0,187.0,4.461538461538462,14.384615384615385,-0.524390243902439,-43.0,122.0,-1.4358805289326886,-0.4031125928656585
2025-09,Andaman and Nicobar Islands,South Andaman,3,116.0,223.0,29.0,55.75,-0.31470588235294117,58.0,36.0,0.004130145014026942,-0.19744735993019408
2025-10,Andaman and Nicobar Islands,South Andaman,5,113.0,178.0,18.833333333333332,29.666666666666668,-0.2226027397260274,-3.0,-45.0,-0.5924886974309812,-0.3271315119237482
2025-11,Andaman and Nicobar Islands,South Andaman,5,163.0,192.0,27.166666666666668,32.0,-0.08146067415730338,50.0,14.0,-0.1034568593613023,-0.31553037372624176
2025-12,Andaman and Nicobar Islands,South Andaman,3,138.0,168.0,34.5,42.0,-0.09771986970684039,-25.0,-24.0,0.3268911581400149,-0.26581121002264274
2025-01,Andhra Pradesh,Adilabad,50,5853.0,26157.0,114.76470588235294,512.8823529411765,-0.6342819655743338,,,2.9960758000547894,3.1708749159341627
2025-02,Andhra Pradesh,Adilabad,90,1117.0,1301.0,12.274725274725276,14.296703296703297,-0.07606448945845391,-4736.0,-24856.0,-0.5636361363574292,-0.33896005678179314
2025-03,Andhra Pradesh,Adilabad,61,1467.0,1012.0,23.661290322580644,16.322580645161292,0.18346774193548387,350.0,-289.0,-0.16815463391905025,-0.32469872540749223
2025-04,Andhra Pradesh,Adilabad,33,1440.0,1427.0,42.35294117647059,41.970588235294116,0.004532775453277545,-27.0,415.0,0.48104924202440713,-0.14414745185093622
2025-05,Andhra Pradesh,Adilabad,33,543.0,629.0,15.970588235294118,18.5,-0.0733162830349531,-897.0,-798.0,-0.435270344715338,-0.30937060152881446
2025-06,Andhra Pradesh,Adilabad,43,691.0,927.0,15.704545454545455,21.068181818181817,-0.1457689932056825,148.0,298.0,-0.4445106202682522,-0.29129167292712815
2025-07,Andhra Pradesh,Adilabad,17,595.0,402.0,33.05555555555556,22.333333333333332,0.1933867735470942,-96.0,-525.0,0.15812972954149196,-0.28238553405845085
2025-08,Andhra Pradesh,Adilabad,70,669.0,1136.0,9.422535211267606,16.0,-0.25858250276854927,74.0,734.0,-0.6626992345609132,-0.3269695585747038
2025-09,Andhra Pradesh,Adilabad,42,703.0,862.0,16.348837209302324,20.046511627906977,-0.10153256704980843,34.0,-274.0,-0.42213289089077866,-0.29848380484461323
2025-10,Andhra Pradesh,Adilabad,56,650.0,878.0,11.403508771929825,15.403508771929825,-0.14911706998037932,-53.0,16.0,-0.593895482352168,-0.33116860797512643
2025-11,Andhra Pradesh,Adilabad,41,931.0,898.0,22.166666666666668,21.38095238095238,0.018032786885245903,281.0,20.0,-0.22006633920827035,-0.2890898986473611
2025-12,Andhra Pradesh,Adilabad,42,1071.0,1254.0,24.906976744186046,29.162790697674417,-0.07867583834909717,140.0,356.0,-0.12488908934848801,-0.2343090033377425
2025-01,Andhra Pradesh,Alluri Sitharama Raju,15,5446.0,11152.0,340.375,697.0,-0.3437556479305982,,,3.173716359128816,3.17241310954877
2025-02,Andhra Pradesh,Alluri Sitharama Raju,32,352.0,404.0,10.666666666666666,12.242424242424242,-0.06869220607661823,-5094.0,-10748.0,-0.2771752084349582,-0.27960359914155
2025-03,Andhra Pradesh,Alluri Sitharama Raju,30,438.0,230.0,14.129032258064516,7.419354838709677,0.3109118086696562,86.0,-174.0,-0.24093636635783608,-0.30391777507509243
2025-04,Andhra Pradesh,Alluri Sitharama Raju,11,180.0,446.0,15.0,37.166666666666664,-0.42424242424242425,-258.0,216.0,-0.231820384344647,-0.1539548960881452
2025-05,Andhra Pradesh,Alluri Sitharama Raju,47,245.0,299.0,5.104166666666667,6.229166666666667,-0.09908256880733946,65.0,-147.0,-0.3353951028201173,-0.3099177809192521
2025-06,Andhra Pradesh,Alluri Sitharama Raju,28,279.0,242.0,9.620689655172415,8.344827586206897,0.07088122605363985,34.0,-57.0,-0.28812292459468847,-0.2992522591306161
2025-07,Andhra Pradesh,Alluri Sitharama Raju,29,340.0,143.0,11.333333333333334,4.766666666666667,0.40702479338842973,61.0,-99.0,-0.2701975431902949,-0.3172905718385408
2025-08,Andhra Pradesh,Alluri Sitharama Raju,32,254.0,311.0,7.696969696969697,9.424242424242424,-0.10070671378091872,-86.0,168.0,-0.3082575354339127,-0.2938106865384699
2025-09,Andhra Pradesh,Alluri Sitharama Raju,26,268.0,244.0,9.925925925925926,9.037037037037036,0.04678362573099415,14.0,-67.0,-0.2849281698179174,-0.29576267584629046
2025-10,Andhra Pradesh,Alluri Sitharama Raju,37,169.0,244.0,4.447368421052632,6.421052631578948,-0.18115942028985507,-99.0,0.0,-0.3422694802568826,-0.30895044068017913
2025-11,Andhra Pradesh,Alluri Sitharama Raju,34,344.0,244.0,9.82857142857143,6.9714285714285715,0.1697792869269949,175.0,0.0,-0.2859471304568206,-0.30617587197486745
2025-12,Andhra Pradesh,Alluri Sitharama Raju,37,291.0,283.0,7.657894736842105,7.447368421052632,0.01391304347826087,-53.0,39.0,-0.30866651342074103,-0.30377655231576606
2025-01,Andhra Pradesh,Anakapalli,13,4717.0,4069.0,336.92857142857144,290.64285714285717,0.07374530556503926,,,3.1175347349099494,3.1732424723104375
2025-02,Andhra Pradesh,Anakapalli,16,411.0,87.0,24.176470588235293,5.117647058823529,0.6492985971943888,-4306.0,-3982.0,-0.35579956400302887,-0.3159383377664036
2025-03,Andhra Pradesh,Anakapalli,18,436.0,73.0,22.94736842105263,3.8421052631578947,0.711764705882353,25.0,-14.0,-0.3694496168809254,-0.33152573880387287
2025-04,Andhra Pradesh,Anakapalli,8,279.0,132.0,31.0,14.666666666666666,0.3567961165048544,-157.0,59.0,-0.28001942157762855,-0.19924721980547902
2025-05,Andhra Pradesh,Anakapalli,6,301.0,60.0,43.0,8.571428571428571,0.6657458563535912,22.0,-72.0,-0.14675089524330376,-0.2737323687297888
2025-06,Andhra Pradesh,Anakapalli,14,413.0,135.0,27.533333333333335,9.0,0.5063752276867031,112.0,75.0,-0.31851921807421124,-0.2684951316960482
2025-07,Andhra Pradesh,Anakapalli,5,464.0,32.0,77.33333333333333,5.333333333333333,0.869215291750503,51.0,-103.0,0.23454516621323648,-0.31330260409582833
2025-08,Andhra Pradesh,Anakapalli,12,199.0,109.0,15.307692307692308,8.384615384615385,0.2912621359223301,-265.0,77.0,-0.4542936483225148,-0.2760152669239833
2025-09,Andhra Pradesh,Anakapalli,16,289.0,80.0,17.0,4.705882352941177,0.5648648648648649,90.0,-29.0,-0.4354993689676741,-0.32097019295568374
2025-10,Andhra Pradesh,Anakapalli,14,185.0,76.0,12.333333333333334,5.066666666666666,0.41603053435114506,-104.0,-4.0,-0.4873260180976893,-0.3165613293612669
2025-11,Andhra Pradesh,Anakapalli,13,445.0,87.0,31.785714285714285,6.214285714285714,0.6716697936210131,260.0,11.0,-0.2712935061628811,-0.30253717241536165
2025-12,Andhra Pradesh,Anakapalli,8,317.0,91.0,35.22222222222222,10.11111111111111,0.5525672371638142,-128.0,4.0,-0.2331286437933291,-0.25491710975672094
2025-01,Andhra Pradesh,Anantapur,104,23439.0,54481.0,223.22857142857143,518.8666666666667,-0.39837784422684513,,,3.1588958813001473,3.1715345721026584
2025-02,Andhra Pradesh,Anantapur,192,2130.0,1581.0,11.036269430051814,8.191709844559586,0.1478987068965517,-21309.0,-52900.0,-0.36138120911103944,-0.3238315921743179
2025-03,Andhra Pradesh,Anantapur,141,2558.0,1425.0,18.014084507042252,10.035211267605634,0.2843875502008032,428.0,-156.0,-0.24561903336148475,-0.3112135610532887
2025-04,Andhra Pradesh,Anantapur,62,1960.0,2249.0,31.11111111111111,35.698412698412696,-0.06864608076009501,-598.0,824.0,-0.02833894227160589,-0.13555919470942435
2025-05,Andhra Pradesh,Anantapur,109,1364.0,1321.0,12.4,12.00909090909091,0.01600893521965748,-596.0,-928.0,-0.3387568752512961,-0.29770314308774465
2025-06,Andhra Pradesh,Anantapur,132,1391.0,1708.0,10.458646616541353,12.842105263157896,-0.10225806451612904,27.0,387.0,-0.3709639900986076,-0.29200149246112683
2025-07,Andhra Pradesh,Anantapur,72,1464.0,707.0,20.054794520547944,9.684931506849315,0.3485267034990792,73.0,-1001.0,-0.21176358883755048,-0.31361108614713257
2025-08,Andhra Pradesh,Anantapur,135,1158.0,1431.0,8.514705882352942,10.522058823529411,-0.10540540540540541,-306.0,724.0,-0.4032140291774442,-0.30788128393375547
2025-09,Andhra Pradesh,Anantapur,101,1224.0,1152.0,12.0,11.294117647058824,0.030290281867900715,66.0,-279.0,-0.34539288807033935,-0.30259684957380645
2025-10,Andhra Pradesh,Anantapur,96,1100.0,1275.0,11.34020618556701,13.144329896907216,-0.07365319865319865,-124.0,123.0,-0.35633888859659624,-0.2899328855229833
2025-11,Andhra Pradesh,Anantapur,125,2229.0,1277.0,17.69047619047619,10.134920634920634,0.2714570858283433,1129.0,2.0,-0.25098770570418827,-0.31053109024848724
2025-12,Andhra Pradesh,Anantapur,115,2086.0,1580.0,17.982758620689655,13.620689655172415,0.13798745568584675,-143.0,303.0,-0.24613873081999407,-0.28667239319059085
2025-01,Andhra Pradesh,Ananthapur,36,10534.0,61739.0,284.7027027027027,1668.6216216216217,-0.7084843788914409,,,3.15630946266444,3.1744834553156007
2025-02,Andhra Pradesh,Ananthapur,66,974.0,863.0,14.537313432835822,12.880597014925373,0.06039173014145811,-9560.0,-60876.0,-0.32834889920125804,-0.3010370698200608
2025-03,Andhra Pradesh,Ananthapur,40,1033.0,828.0,25.195121951219512,20.195121951219512,0.11009667024704618,59.0,-35.0,-0.1908819139848379,-0.2856833513520742
2025-04,Andhra Pradesh,Ananthapur,20,787.0,1149.0,37.476190476190474,54.714285714285715,-0.1868869385647909,-246.0,321.0,-0.032477729630054915,-0.21322512244664868
2025-05,Andhra Pradesh,Ananthapur,46,530.0,665.0,11.27659574468085,14.148936170212766,-0.112876254180602,-257.0,-484.0,-0.37040642251473727,-0.29837473392240327
2025-06,Andhra Pradesh,Ananthapur,55,608.0,918.0,10.857142857142858,16.392857142857142,-0.20301244269810084,78.0,253.0,-0.3758166270413724,-0.293664581017265
2025-07,Andhra Pradesh,Ananthapur,28,716.0,390.0,24.689655172413794,13.448275862068966,0.2944896115627823,108.0,-528.0,-0.1974015464298778,-0.2998454707380718
2025-08,Andhra Pradesh,Ananthapur,51,578.0,688.0,11.115384615384615,13.23076923076923,-0.08681925808997633,-138.0,298.0,-0.37248576254880356,-0.30030203293602475
2025-09,Andhra Pradesh,Ananthapur,50,531.0,660.0,10.411764705882353,12.941176470588236,-0.10822147651006711,-47.0,-28.0,-0.3815612218733622,-0.3009099091479334
2025-10,Andhra Pradesh,Ananthapur,42,487.0,688.0,11.325581395348838,16.0,-0.17091836734693877,-44.0,28.0,-0.36977459377578237,-0.29448921665964783
2025-11,Andhra Pradesh,Ananthapur,40,1007.0,791.0,24.5609756097561,19.29268292682927,0.12006670372429128,520.0,103.0,-0.19906128646996285,-0.287577636331029
2025-12,Andhra Pradesh,Ananthapur,54,758.0,752.0,13.781818181818181,13.672727272727272,0.003970880211780278,-249.0,-39.0,-0.33809345919439143,-0.2993743309444414
2025-01,Andhra Pradesh,Ananthapuramu,57,32335.0,83413.0,557.5,1438.155172413793,-0.4412824300857891,,,3.173662587999228,3.175182502994139
2025-02,Andhra Pradesh,Ananthapuramu,110,1064.0,1054.0,9.585585585585585,9.495495495495495,0.004719207173194903,-31271.0,-82359.0,-0.31009516951110117,-0.2946810713537302
2025-03,Andhra Pradesh,Ananthapuramu,102,1232.0,848.0,11.96116504854369,8.233009708737864,0.18452666987025468,168.0,-206.0,-0.2949907240631611,-0.2977473393497945
2025-04,Andhra Pradesh,Ananthapuramu,48,810.0,1327.0,16.53061224489796,27.081632653061224,-0.24181478016838168,-422.0,479.0,-0.2659371954480282,-0.2519686621478164
2025-05,Andhra Pradesh,Ananthapuramu,81,692.0,650.0,8.439024390243903,7.926829268292683,0.03127326880119136,-118.0,-677.0,-0.31738525232996784,-0.2984909764627074
2025-06,Andhra Pradesh,Ananthapuramu,72,937.0,1047.0,12.835616438356164,14.342465753424657,-0.055415617128463476,245.0,397.0,-0.2894307739456219,-0.2829089706808715
2025-07,Andhra Pradesh,Ananthapuramu,40,1100.0,398.0,26.829268292682926,9.707317073170731,0.4683122081387592,163.0,-649.0,-0.20045612403517565,-0.29416660875041684
2025-08,Andhra Pradesh,Ananthapuramu,89,673.0,797.0,7.477777777777778,8.855555555555556,-0.08429639700883752,-427.0,399.0,-0.32349706515138876,-0.29623532834246086
2025-09,Andhra Pradesh,Ananthapuramu,57,706.0,695.0,12.172413793103448,11.982758620689655,0.007845934379457917,33.0,-102.0,-0.29364755908472023,-0.2886401199239633
2025-10,Andhra Pradesh,Ananthapuramu,73,573.0,835.0,7.743243243243243,11.283783783783784,-0.18594748048261178,-133.0,140.0,-0.3218091785940424,-0.2903377581825002
2025-11,Andhra Pradesh,Ananthapuramu,68,1056.0,765.0,15.304347826086957,11.08695652173913,0.1597145993413831,483.0,-70.0,-0.273734048513771,-0.29081580327472295
2025-12,Andhra Pradesh,Ananthapuramu,77,1084.0,917.0,13.897435897435898,11.756410256410257,0.08341658341658342,28.0,152.0,-0.2826794973222501,-0.2891898645251551
2025-01,Andhra Pradesh,Annamayya,12,20756.0,5952.0,1596.6153846153845,457.84615384615387,0.5542700962222472,,,3.174519295214442,3.175151153088087
2025-02,Andhra Pradesh,Annamayya,47,610.0,153.0,12.708333333333334,3.1875,0.5981675392670157,-20146.0,-5799.0,-0.30650696103026354,-0.30051232295505537
2025-03,Andhra Pradesh,Annamayya,20,646.0,103.0,30.761904761904763,4.904761904761905,0.724,36.0,-50.0,-0.2668297867219743,-0.2873846183998026
2025-04,Andhra Pradesh,Annamayya,22,532.0,198.0,23.130434782608695,8.608695652173912,0.45690834473324216,-114.0,95.0,-0.2836018235344693,-0.25906968997017754
2025-05,Andhra Pradesh,Annamayya,41,412.0,117.0,9.80952380952381,2.7857142857142856,0.5566037735849056,-120.0,-81.0,-0.31287780965806994,-0.30358379629120635
2025-06,Andhra Pradesh,Annamayya,21,625.0,144.0,28.40909090909091,6.545454545454546,0.6246753246753247,213.0,27.0,-0.27200067524795946,-0.2748422518607995
2025-07,Andhra Pradesh,Annamayya,12,593.0,46.0,45.61538461538461,3.5384615384615383,0.8546875,-32.0,-98.0,-0.23418560263003937,-0.297829377869973
2025-08,Andhra Pradesh,Annamayya,27,421.0,142.0,15.035714285714286,5.071428571428571,0.4946808510638298,-172.0,96.0,-0.3013919675734416,-0.2861105257566585
2025-09,Andhra Pradesh,Annamayya,29,382.0,107.0,12.733333333333333,3.566666666666667,0.5612244897959183,-39.0,-35.0,-0.30645201736653305,-0.29761376219190244
2025-10,Andhra Pradesh,Annamayya,34,254.0,118.0,7.257142857142857,3.3714285714285714,0.3646112600536193,-128.0,11.0,-0.3184872960884671,-0.2991062707167284
2025-11,Andhra Pradesh,Annamayya,21,596.0,142.0,27.09090909090909,6.454545454545454,0.6143437077131259,342.0,24.0,-0.2748977047901167,-0.2755372114843327
2025-12,Andhra Pradesh,Annamayya,30,524.0,127.0,16.903225806451612,4.096774193548387,0.6088957055214724,-72.0,-15.0,-0.2972876505731074,-0.2935613255914506
2025-01,Andhra Pradesh,Bapatla,10,6061.0,3161.0,551.0,287.3636363636364,0.31443131302179333,,,3.163722253386472,3.1556083391390097
2025-02,Andhra Pradesh,Bapatla,19,353.0,128.0,17.65,6.4,0.46680497925311204,-5708.0,-3033.0,-0.3577904789090802,-0.33366063878439767
2025-03,Andhra Pradesh,Bapatla,12,347.0,91.0,26.692307692307693,7.0,0.5831435079726651,-6.0,-37.0,-0.2980874665011013,-0.3262092781248835
2025-04,Andhra Pradesh,Bapatla,4,258.0,186.0,51.6,37.2,0.16179775280898875,-89.0,95.0,-0.13363118902170043,0.04884254173732969
2025-05,Andhra Pradesh,Bapatla,14,311.0,106.0,20.733333333333334,7.066666666666666,0.4904306220095694,53.0,-80.0,-0.33743236961641193,-0.3253813491627152
2025-06,Andhra Pradesh,Bapatla,9,369.0,114.0,36.9,11.4,0.5268595041322314,58.0,8.0,-0.2306898506224216,-0.27156596662177956
2025-07,Andhra Pradesh,Bapatla,8,344.0,59.0,38.22222222222222,6.555555555555555,0.7054455445544554,-25.0,-55.0,-0.22195970645727736,-0.3317288045393384
2025-08,Andhra Pradesh,Bapatla,12,258.0,75.0,19.846153846153847,5.769230769230769,0.5479041916167665,-86.0,16.0,-0.34329008755010276,-0.3414941205033741
2025-09,Andhra Pradesh,Bapatla,17,258.0,72.0,14.333333333333334,4.0,0.5619335347432024,0.0,-3.0,-0.3796892018779504,-0.3634660814224543
2025-10,Andhra Pradesh,Bapatla,14,138.0,80.0,9.2,5.333333333333333,0.2648401826484018,-120.0,8.0,-0.4135827027543927,-0.3469075021790895
2025-11,Andhra Pradesh,Bapatla,14,439.0,103.0,29.266666666666666,6.866666666666666,0.6187845303867403,301.0,23.0,-0.2810899266010274,-0.32786513604921996
2025-12,Andhra Pradesh,Bapatla,7,373.0,114.0,46.625,14.25,0.5307377049180327,-66.0,11.0,-0.16647927347500574,-0.23617200348908726
2025-01,Andhra Pradesh,Chittoor,163,87043.0,162842.0,530.75,992.939024390244,-0.30333432045012526,,,3.170398433078823,3.1729529643896597
2025-02,Andhra Pradesh,Chittoor,338,4325.0,3057.0,12.75811209439528,9.017699115044248,0.1717459027495598,-82718.0,-159785.0,-0.3215174475814684,-0.3192119553937935
2025-03,Andhra Pradesh,Chittoor,234,4560.0,3124.0,19.404255319148938,13.293617021276596,0.18685751463890696,235.0,67.0,-0.27671409522493623,-0.30403573131120026
2025-04,Andhra Pradesh,Chittoor,111,3323.0,5566.0,29.669642857142858,49.69642857142857,-0.25230596175478065,-1237.0,2442.0,-0.20751249071721176,-0.17483371260165326
2025-05,Andhra Pradesh,Chittoor,227,2494.0,3574.0,10.93859649122807,15.675438596491228,-0.17795353435491842,-829.0,-1992.0,-0.33378326791216556,-0.29558209428100224
2025-06,Andhra Pradesh,Chittoor,206,3593.0,4028.0,17.357487922705314,19.458937198067634,-0.057071634741537654,1099.0,454.0,-0.290511878052303,-0.2821535804851667
2025-07,Andhra Pradesh,Chittoor,74,2738.0,1918.0,36.50666666666667,25.573333333333334,0.1760790208288598,-855.0,-2110.0,-0.16142236348865677,-0.2604521708899816
2025-08,Andhra Pradesh,Chittoor,254,2280.0,3063.0,8.941176470588236,12.011764705882353,-0.1465194610778443,-458.0,1145.0,-0.3472483874502771,-0.3085853223945228
2025-09,Andhra Pradesh,Chittoor,196,2697.0,2340.0,13.690355329949238,11.878172588832488,0.07086145295752283,417.0,-723.0,-0.3152329573512619,-0.3090594717931962
2025-10,Andhra Pradesh,Chittoor,267,2071.0,2536.0,7.727611940298507,9.462686567164178,-0.10091145833333333,-626.0,196.0,-0.3554293365239371,-0.3176325917494468
2025-11,Andhra Pradesh,Chittoor,228,4155.0,2654.0,18.14410480349345,11.589519650655022,0.22041116005873715,2084.0,118.0,-0.2852090923482147,-0.3100839679991442
2025-12,Andhra Pradesh,Chittoor,200,3927.0,3392.0,19.53731343283582,16.875621890547265,0.07308743169398907,-228.0,738.0,-0.2758171164283907,-0.2913223654905521
2025-01,Andhra Pradesh,Cuddapah,135,27759.0,110947.0,204.11029411764707,815.7867647058823,-0.5997390182182586,,,3.15404018874213,3.1738995439760074
2025-02,Andhra Pradesh,Cuddapah,276,2570.0,2528.0,9.277978339350181,9.126353790613718,0.008236909197881937,-25189.0,-108419.0,-0.3906341894454925,-0.31348911244605554
2025-03,Andhra Pradesh,Cuddapah,169,2583.0,2288.0,15.194117647058823,13.458823529411765,0.06055008210180624,13.0,-240.0,-0.28299913240656416,-0.29475879468540966
2025-04,Andhra Pradesh,Cuddapah,90,2080.0,3272.0,22.857142857142858,35.956043956043956,-0.22267887166075098,-503.0,984.0,-0.14358217268362028,-0.19749785283771945
2025-05,Andhra Pradesh,Cuddapah,168,1368.0,2277.0,8.094674556213018,13.47337278106509,-0.24931431705979154,-712.0,-995.0,-0.4121625821299571,-0.2946958947407878
